ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[20095] python3.8,"   99,    1,    1","  128,    1,    1","3,115",2.75,550.28,0.82,"30,624",1.13,128,99,3.95
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[20095] python3.8,"   98,    1,    1","   64,    1,    1","21,644",16.42,"9,244.66",1.17,"736,568",1.31,64,98,13.52
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[20095] python3.8,"    1,    1,    1","   64,    1,    1","3,150",2.94,20.35,0.05,65,1.07,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[20095] python3.8,"   32,    1,    1","  512,    1,    1","89,601",68.26,"39,738.96",0.17,"461,440",1.31,512,32,2.03
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[20095] python3.8," 1568,    1,    1","   64,    1,    1","7,582",6.72,"2,513.43",0.59,"100,352",1.12,64,"1,568",6.13
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[20095] python3.8,"  392,    1,    1"," 1024,    1,    1","42,845",32.93,"18,620.19",1.97,"2,496,256",1.29,"1,024",392,21.63
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[20095] python3.8,"    1,    1,    1","   64,    1,    1","3,153",2.82,18.71,0.05,65,1.12,64,1,0.01
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[20095] python3.8,"   32,    1,    1","  512,    1,    1","89,790",66.50,"39,591.29",0.17,"461,440",1.35,512,32,2.02
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[20095] python3.8," 1568,    1,    1","   64,    1,    1","7,882",6.53,"2,711.43",0.54,"100,352",1.20,64,"1,568",5.90
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[20095] python3.8,"   99,    1,    1","  128,    1,    1","3,080",2.78,535.41,0.84,"30,624",1.10,128,99,3.99
10,volta_scudnn_128x32_relu_interior_nn_v1,volta_scudnn_128x32_relu_interior_nn_v1,[20095] python3.8,"   98,    1,    1","   64,    1,    1","22,104",16.74,"9,490.84",1.20,"773,612",1.31,64,98,14.47
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[20095] python3.8,"    1,    1,    1","   64,    1,    1","3,126",4.13,18.38,0.05,65,0.76,64,1,0.01
12,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[20095] python3.8,"   16,    1,    1","  512,    1,    1","88,666",65.22,"19,781.01",0.17,"230,720",1.36,512,16,1.02
13,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[20095] python3.8,"   99,    1,    1","  128,    1,    1","3,093",2.82,533.19,0.84,"30,624",1.10,128,99,3.97
14,volta_scudnn_128x32_relu_interior_nn_v1,volta_scudnn_128x32_relu_interior_nn_v1,[20095] python3.8,"   98,    3,    1","   64,    1,    1","35,223",28.29,"13,986.69",1.61,"1,530,564",1.23,64,294,19.19
15,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[20095] python3.8,"    1,    1,    1","   64,    1,    1","3,281",2.88,19.03,0.05,65,1.14,64,1,0.01
16,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[20095] python3.8,"   96,    1,    1","  512,    1,    1","193,859",146.56,"73,029.29",0.28,"1,384,320",1.32,512,96,2.81
17,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[20095] python3.8," 4704,    1,    1","   64,    1,    1","19,809",17.76,"8,384.21",0.53,"301,056",1.10,64,"4,704",7.07
