ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[32184] python3.8,"  393,    1,    1","  128,    1,    1","3,484",0.00,"1,103.88",1.63,"122,352",1.11,128,393,13.80
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[32184] python3.8," 6272,    1,    1","  128,    1,    1","833,876",0.61,"606,017.01",2.32,"95,535,104",1.36,128,"6,272",48.97
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[32184] python3.8,"200704,    1,    1","   64,    1,    1","1,052,065",0.76,"752,792.94",2.43,"124,436,480",1.38,64,"200,704",43.62
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[32184] python3.8,"200704,    1,    1","   64,    1,    1","1,025,962",0.77,"749,283.90",0.22,"11,239,424",1.34,64,"200,704",4.61
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[32184] python3.8,"    2,   16,    1","   32,    4,    1","4,555",0.00,"1,093.26",0.61,"45,056",1.22,128,32,3.72
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[32184] python3.8,"   32,   28,   14","  256,    1,    1","7,866,864",5.75,"5,712,895.31",1.58,"614,254,592",1.36,256,"12,544",42.46
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[32184] python3.8,"200704,    1,    1","   64,    1,    1","1,027,852",0.77,"753,676.85",2.43,"124,436,480",1.33,64,"200,704",44.64
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[32184] python3.8,"200704,    1,    1","   64,    1,    1","1,022,642",0.75,"750,799.76",0.22,"11,239,424",1.36,64,"200,704",4.63
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[32184] python3.8,"50176,    1,    1","  256,    1,    1","919,738",0.68,"664,533.53",1.84,"83,091,456",1.36,256,"50,176",33.31
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32184] python3.8,"   49,   64,    1","  256,    1,    1","504,056",0.37,"366,595.24",0.63,"15,705,088",1.35,256,"3,136",14.54
