ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[1863] python3.8,"   99,    1,    1","  128,    1,    1","3,175",0,534.9,0.84,"30,624",1.09,128,99,3.87
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[1863] python3.8," 3136,    1,    1","  128,    1,    1","2,097,250",1.54,"1,038,151.40",2.42,"170,560,768",1.35,128,"3,136",43.71
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[1863] python3.8,"    1,    1,    1","   64,    1,    1","3,127",0,18.46,0.05,65,1.07,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[1863] python3.8,"   64,    1,    1","  512,    1,    1","774,816",0.57,"376,792.66",0.88,"22,634,112",1.35,512,64,12.33
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[1863] python3.8,"100352,    1,    1","   64,    1,    1","511,381",0.38,"252,160.66",0.33,"5,619,712",1.35,64,"100,352",4.63
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[1863] python3.8,"25088,    1,    1","  256,    1,    1","724,101",0.53,"358,523.34",2.3,"56,074,240",1.35,256,"25,088",28.61
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[1863] python3.8,"    1,    1,    1","   64,    1,    1","3,355",0,18.94,0.05,65,1.19,64,1,0.01
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[1863] python3.8,"   64,    1,    1","  512,    1,    1","206,182",0.15,"94,011.26",0.93,"5,928,576",1.4,512,64,11.89
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[1863] python3.8,"25088,    1,    1","   64,    1,    1","129,788",0.09,"60,492.53",0.34,"1,404,928",1.37,64,"25,088",4.57
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[1863] python3.8,"   25,    1,    1","  128,    1,    1","2,927",0,367.63,0.31,"7,680",1.1,128,25,1.05
10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[1863] python3.8,"  784,    2,    1","  128,    1,    1","498,281",0.37,"242,829.71",2.34,"38,710,784",1.36,128,"1,568",39.47
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[1863] python3.8,"    1,    1,    1","   64,    1,    1","3,166",0,18.93,0.05,65,1.12,64,1,0.01
12,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[1863] python3.8,"  128,    1,    1","  512,    1,    1","392,549",0.3,"189,706.47",0.92,"11,857,152",1.32,512,128,12.47
13,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[1863] python3.8,"50176,    1,    1","   64,    1,    1","252,166",0.19,"124,529.93",0.33,"2,809,856",1.33,64,"50,176",4.7
14,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)1>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[1863] python3.8,"  256,    1,    1","  512,    1,    1","118,293",0.08,"52,431.35",1.28,"4,571,136",1.39,512,256,22.28
15,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[1863] python3.8,"  256,    1,    1","  512,    1,    1","153,117",0.11,"70,673.54",0.98,"4,722,688",1.35,512,256,17.08
16,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[1863] python3.8,"    1,    1,  544","   64,    1,    1","174,689",0.13,"82,439.13",1.69,"9,448,192",1.34,64,544,29.79
