ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[26250] python3.8,"   99,    1,    1","  128,    1,    1","3,360",0.00,315.40,1.43,"30,624",1.14,128,99,3.62
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[26250] python3.8," 3136,    1,    1","  128,    1,    1","4,410,847",3.23,"1,033,457.35",2.43,"170,560,768",1.36,128,"3,136",20.70
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"    1,    1,    1","   64,    1,    1","3,148",0.00,19.25,0.05,65,1.12,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26250] python3.8,"   64,    1,    1","  512,    1,    1","927,546",0.69,"214,833.53",1.55,"22,634,112",1.34,512,64,10.29
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"100352,    1,    1","   64,    1,    1","608,556",0.45,"142,107.31",0.58,"5,619,712",1.36,64,"100,352",3.89
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[26250] python3.8,"25088,    1,    1","  256,    1,    1","1,463,052",1.07,"342,270.69",2.41,"56,074,240",1.36,256,"25,088",14.12
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[26250] python3.8,"   25,    1,    1","  128,    1,    1","3,000",0.00,243.41,0.46,"7,680",1.10,128,25,1.03
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[26250] python3.8,"  784,    1,    1","  128,    1,    1","523,606",0.39,"121,223.87",2.35,"19,355,392",1.36,128,784,18.75
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"    1,    1,    1","   64,    1,    1","3,138",0.00,19,0.05,65,1.11,64,1,0.01
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26250] python3.8,"   64,    1,    1","  512,    1,    1","242,199",0.18,"55,691.13",1.57,"5,928,576",1.32,512,64,10.11
10,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"25088,    1,    1","   64,    1,    1","153,222",0.11,"35,181.50",0.59,"1,404,928",1.34,64,"25,088",3.86
11,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)1, (bool)1>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26250] python3.8,"  256,    1,    1","  512,    1,    1","234,489",0.17,"53,323.04",1.26,"4,571,136",1.35,512,256,11.22
12,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","139,255",0.10,"30,402.68",1.14,"2,361,344",1.34,512,128,9.37
13,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26250] python3.8,"    2,    1,  544","   64,    1,    1","379,413",0.28,"87,932.13",1.69,"10,105,344",1.36,64,"1,088",13.92
14,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","135,531",0.10,"30,009.18",1.15,"2,338,816",1.33,512,128,9.26
15,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","138,870",0.10,"30,236.74",1.15,"2,361,344",1.32,512,128,9.39
16,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26250] python3.8,"    2,    1,  544","   64,    1,    1","380,137",0.28,"87,867.66",1.69,"10,105,344",1.36,64,"1,088",13.89
17,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","136,111",0.10,"30,792.28",1.12,"2,338,816",1.34,512,128,9.23
18,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","136,588",0.10,"30,102.49",1.15,"2,353,152",1.32,512,128,9.51
19,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26250] python3.8,"    2,    1,  544","   64,    1,    1","380,903",0.28,"87,854.37",1.69,"10,105,344",1.36,64,"1,088",13.86
20,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","130,269",0.10,"30,052.57",1.12,"2,285,568",1.34,512,128,9.46
21,fft2d_r2c_32x32,"void fft2d_r2c_32x32<float, (bool)0, (unsigned int)0, (bool)0>(float2 *, const T1 *, int, int, int, int, int, int, int, int, int, cudnn::reduced_divisor, bool, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","136,536",0.10,"30,281.13",1.14,"2,353,152",1.35,512,128,9.50
22,volta_gcgemm_32x32_nt,volta_gcgemm_32x32_nt,[26250] python3.8,"    2,    1,  544","   64,    1,    1","379,318",0.28,"87,911.88",1.69,"10,105,344",1.35,64,"1,088",13.91
23,fft2d_c2r_32x32,"void fft2d_c2r_32x32<float, (bool)0, (bool)0, (unsigned int)0, (bool)0, (bool)0>(T1 *, const float2 *, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, T1 *, T1 *, int2, int, int)",[26250] python3.8,"  128,    1,    1","  512,    1,    1","130,521",0.10,"28,927.75",1.16,"2,285,568",1.33,512,128,9.43
24,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"    1,    1,    1","   64,    1,    1","3,151",0.00,18.76,0.05,65,1.11,64,1,0.01
