ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[24412] python3.8,"   99,    1,    1","  128,    1,    1","4,198",0.00,533.81,0.84,"30,624",1.51,128,99,2.92
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[24412] python3.8,"  784,    1,    1","  128,    1,    1","551,567",0.40,"264,592.79",2.37,"42,640,192",1.36,128,784,41.35
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8,"    1,    1,    1","   64,    1,    1","3,177",0.00,18.65,0.05,65,0.87,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[24412] python3.8,"   64,    1,    1","  512,    1,    1","211,565",0.16,"101,559.49",0.84,"5,830,272",1.33,512,64,11.50
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8,"25088,    1,    1","   64,    1,    1","123,768",0.09,"60,612.90",0.34,"1,404,928",1.32,64,"25,088",4.77
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[24412] python3.8," 6272,    1,    1","  256,    1,    1","181,768",0.14,"89,467.63",2.30,"14,018,560",1.34,256,"6,272",28.40
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8,"    1,    1,    1","   64,    1,    1","3,162",0.00,19.90,0.05,65,1.11,64,1,0.01
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[24412] python3.8,"   64,    1,    1","  512,    1,    1","60,056",0.04,"24,759.49",0.98,"1,653,888",1.38,512,64,11.02
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8," 6272,    1,    1","   64,    1,    1","34,934",0.02,"12,478.07",0.41,"351,232",1.48,64,"6,272",4.23
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[24412] python3.8,"   25,    1,    1","  128,    1,    1","3,012",0.00,357.24,0.32,"7,680",1.13,128,25,1.02
10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[24412] python3.8,"  196,    2,    1","  128,    1,    1","136,488",0.10,"63,949.84",2.23,"9,677,696",1.35,128,392,35.99
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[24412] python3.8,"    1,    1,    1","   64,    1,    1","3,158",0.00,18.99,0.05,65,0.89,64,1,0.01
12,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[24412] python3.8,"  128,    1,    1","  512,    1,    1","110,366",0.08,"52,496.91",0.93,"3,307,776",1.31,512,128,11.99
