ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[19496] python3.8,"  393,    1,    1","  128,    1,    1","8,746",0.01,594.97,3.02,"122,352",1.25,128,393,5.19
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[19496] python3.8," 6272,    1,    1","  128,    1,    1","6,768,567",4.96,"596,874.16",2.35,"95,535,104",1.37,128,"6,272",6.00
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[19496] python3.8,"200704,    1,    1","   64,    1,    1","7,513,341",5.51,"662,820.15",2.76,"124,436,480",1.36,64,"200,704",6.09
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[19496] python3.8,"200704,    1,    1","   64,    1,    1","3,076,896",2.26,"272,702.44",0.61,"11,239,424",1.36,64,"200,704",1.53
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[19496] python3.8,"    2,   16,    1","   32,    4,    1","8,270",0.01,504.99,1.31,"45,056",1.11,128,32,2.05
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[19496] python3.8,"   32,   28,   14","  256,    1,    1","65,279,748",47.83,"5,723,915.24",1.58,"614,254,592",1.36,256,"12,544",5.11
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[19496] python3.8,"200704,    1,    1","   64,    1,    1","7,511,879",5.50,"662,361.74",2.76,"124,436,480",1.36,64,"200,704",6.09
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[19496] python3.8,"200704,    1,    1","   64,    1,    1","3,082,175",2.26,"271,991.46",0.61,"11,239,424",1.36,64,"200,704",1.53
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[19496] python3.8,"50176,    1,    1","  256,    1,    1","5,844,180",4.29,"515,204.47",2.37,"83,091,456",1.36,256,"50,176",5.23
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[19496] python3.8,"   49,   64,    1","  256,    1,    1","2,422,886",1.79,"215,065.68",1.07,"15,705,088",1.35,256,"3,136",3.02
10,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[19496] python3.8,"    2,   16,    1","   32,    8,    1","17,695",0.01,"1,290.31",0.89,"78,336",1.27,256,32,2.77
11,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[19496] python3.8,"   98,    1,   36","  256,    1,    1","12,043,730",8.82,"1,070,436.54",2.15,"156,360,960",1.37,256,"3,528",7.19
12,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[19496] python3.8,"   49,  128,    1","  256,    1,    1","2,428,394",1.78,"213,846",2.23,"32,363,520",1.36,256,"6,272",4.90
13,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[19496] python3.8,"100352,    1,    1","   64,    1,    1","3,756,314",2.75,"331,397.06",2.76,"62,218,240",1.36,64,"100,352",6.09
14,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[19496] python3.8,"100352,    1,    1","   64,    1,    1","1,542,402",1.13,"135,208.62",0.61,"5,619,712",1.37,64,"100,352",1.53
15,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[19496] python3.8,"   49,  128,    1","  256,    1,    1","4,847,176",3.56,"427,114.09",1.08,"31,410,176",1.36,256,"6,272",3.01
16,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[19496] python3.8,"    4,   16,    1","   32,    8,    1","31,657",0.02,"2,482.25",0.93,"156,672",1.29,256,64,3.09
17,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[19496] python3.8,"   98,    1,   36","  256,    1,    1","21,853,156",15.93,"1,921,449.97",2.20,"287,997,696",1.37,256,"3,528",7.85
18,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[19496] python3.8,"   49,  128,    1","  256,    1,    1","2,426,632",1.78,"213,765.46",2.23,"32,363,520",1.36,256,"6,272",4.90
19,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[19496] python3.8,"100352,    1,    1","   64,    1,    1","3,759,616",2.76,"331,500.35",2.76,"62,218,240",1.36,64,"100,352",6.08
20,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[19496] python3.8,"100352,    1,    1","   64,    1,    1","1,537,994",1.13,"135,999.59",0.61,"5,619,712",1.36,64,"100,352",1.54
21,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[19496] python3.8,"25088,    1,    1","  256,    1,    1","2,919,395",2.15,"257,291.60",2.37,"41,545,728",1.36,256,"25,088",5.23
22,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[19496] python3.8,"   16,  128,    1","  256,    1,    1","1,217,834",0.89,"107,611.04",1.26,"9,196,544",1.36,256,"2,048",3.42
23,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[19496] python3.8,"    4,   32,    1","   32,    8,    1","60,461",0.05,"4,839.41",0.95,"313,344",1.32,256,128,3.24
