ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[15089] python3.8,"   99,    1,    1","  128,    1,    1","3,041",2.78,989.50,0.46,"30,624",1.09,128,99,4.05
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[15089] python3.8," 1568,    1,    1","   64,    1,    1","123,612",90.37,"110,570.90",1.57,"11,785,088",1.35,64,"1,568",38.02
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"    1,    1,    1","   64,    1,    1","3,117",4.13,18.50,0.05,65,0.75,64,1,0.01
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[15089] python3.8,"   32,    1,    1","  512,    1,    1","215,832",164.22,"97,618.93",0.86,"5,719,360",1.31,512,32,11.15
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"25088,    1,    1","   64,    1,    1","129,308",93.41,"118,645.12",0.20,"1,605,632",1.38,64,"25,088",5.73
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[15089] python3.8," 6272,    1,    1"," 1024,    1,    1","323,065",238.21,"297,465.07",1.97,"39,940,096",1.35,"1,024","6,272",45.79
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"    1,    1,    1","   64,    1,    1","3,145",2.82,19.41,0.05,65,1.12,64,1,0.01
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[15089] python3.8,"   32,    1,    1","  512,    1,    1","220,596",161.57,"97,139.71",0.87,"5,719,360",1.36,512,32,10.91
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"25088,    1,    1","   64,    1,    1","122,972",93.15,"118,627.87",0.20,"1,605,632",1.31,64,"25,088",6.03
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[15089] python3.8,"   99,    1,    1","  128,    1,    1","5,041",2.82,983.69,0.46,"30,624",1.79,128,99,2.45
10,volta_scudnn_128x32_relu_interior_nn_v1,volta_scudnn_128x32_relu_interior_nn_v1,[15089] python3.8," 1568,    1,    1","   64,    1,    1","108,473",83.46,"103,039.04",1.77,"12,377,792",1.29,64,"1,568",47.29
