ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[18892] python3.8,"  393,    1,    1","  128,    1,    1","3,532",0.00,"1,060.38",1.70,"122,352",1.12,128,393,13.66,0,0,0.32,101.83,0,"3,043","4,137",0,"10,107","11,267",123,0,0,185,0,0.35,0,185,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[18892] python3.8,"12544,    1,    1","  128,    1,    1","1,650,980",1.21,"1,204,110.51",2.33,"191,070,208",1.35,128,"12,544",49.48,0.13,103.21,411.04,339.05,"1,710,890","3,211,264","4,954,494","3,911,654","12,845,056","15,929,175","957,158","3,075,120","903,448","979,258","12,756,860",3.97,51.74,"979,258","12,756,860"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,069,251",1.53,"1,507,859.46",2.43,"248,872,960",1.35,64,"401,408",44.40,0.41,269.57,411.04,269.30,"3,223,999","3,211,264","6,502,315","12,857,791","12,845,056","12,859,923","12,919,942","12,562","12,845,312","12,922,998","12,756,727",41.83,41.29,"12,922,998","12,756,727"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,050,641",1.51,"1,503,762.90",0.22,"22,478,848",1.36,64,"401,408",4.62,0.41,272.46,411.04,272.46,"3,211,264","3,211,264","6,488,718","12,845,056","12,845,056","12,849,202","12,918,234",0,"12,845,056","12,923,204","12,754,215",42.21,41.66,"12,923,204","12,754,215"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[18892] python3.8,"    2,   16,    1","   32,    4,    1","4,368",0.01,"1,044.51",0.63,"45,056",0.86,128,32,3.89,0.00,32.20,0.26,51.52,"2,154","2,048","5,828","5,120","8,192","15,281","4,924","1,018","4,608","4,686",0,7.09,0,"4,686",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[18892] python3.8,"   64,   28,   14","  256,    1,    1","15,797,698",11.58,"11,489,408.85",1.57,"1,228,509,184",1.36,256,"25,088",42.31,5.26,453.74,411.04,35.48,"55,296,000","6,422,528","62,017,955","164,249,600","12,845,056","147,552,981","44,533,717","134,670,334","43,887,078","44,536,350","12,884,813",18.88,5.46,"44,536,350","12,884,813"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,065,386",1.51,"1,506,304.54",2.43,"248,872,960",1.36,64,"401,408",44.48,0.41,272.13,411.04,271.86,"3,223,969","3,211,264","6,437,554","12,857,761","12,845,056","12,860,119","12,923,008","12,604","12,845,312","12,890,306","12,756,586",41.80,41.37,"12,890,306","12,756,586"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[18892] python3.8,"401408,    1,    1","   64,    1,    1","2,047,427",1.51,"1,507,090.15",0.22,"22,478,848",1.36,64,"401,408",4.62,0.41,273.10,411.04,273.10,"3,211,264","3,211,264","6,423,945","12,845,056","12,845,056","12,847,368","13,000,362",0,"12,845,056","12,937,804","12,755,725",42.32,41.73,"12,937,804","12,755,725"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[18892] python3.8,"100352,    1,    1","  256,    1,    1","1,828,365",1.33,"1,329,378.43",1.84,"166,182,912",1.37,256,"100,352",33.54,0.44,332.38,308.28,231.19,"3,460,511","2,408,448","5,883,006","13,842,044","9,633,792","10,633,627","12,925,249","994,172","12,845,056","12,893,467","9,549,495",47.23,34.98,"12,893,467","9,549,495"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[18892] python3.8,"   98,   64,    1","  256,    1,    1","1,009,184",0.77,"737,445.12",0.63,"31,410,176",1.31,256,"6,272",14.54,0.23,302.33,231.21,302.21,"4,066,417","1,806,336","5,903,183","7,228,958","7,225,344","12,295,931","3,291,959","5,066,112","3,218,340","3,226,327","7,130,834",21.41,47.32,"3,226,327","7,130,834"
10,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[18892] python3.8,"    2,   16,    1","   32,    8,    1","6,454",0.01,"1,826.97",0.63,"78,336",1.15,256,32,7.62,0.00,52.66,1.18,210.65,"2,304","9,216","12,840","9,216","36,864","38,447","9,236",0,"9,216","9,740","24,745",10.07,25.57,"9,740","24,745"
11,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[18892] python3.8,"  196,    1,   36","  256,    1,    1","2,971,926",2.18,"2,171,768.78",2.12,"312,721,920",1.36,256,"7,056",58.56,0.46,210.21,462.42,212.06,"8,905,754","3,612,672","12,610,271","14,324,764","14,450,688","21,534,811","7,394,721","7,081,471","7,262,248","7,343,231","14,362,137",16.55,32.37,"7,343,231","14,362,137"
