ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[15482] python3.8,"  393,    1,    1","  128,    1,    1","5,062",0.00,718.22,2.51,"122,352",1.32,128,393,9.10,0,0,0.33,85.61,0,"3,182","4,383",0,"10,289","11,691",153,0,0,97,0,0.13,0,97,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[15482] python3.8," 6272,    1,    1","  128,    1,    1","2,552,797",1.87,"599,590.04",2.34,"95,535,104",1.36,128,"6,272",15.90,0.06,33.41,205.52,109.85,"854,529","1,605,632","2,494,808","1,954,911","6,422,528","7,960,143","726,944","1,534,910","451,832","555,168","6,333,962",1.46,16.62,"555,168","6,333,962"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[15482] python3.8,"200704,    1,    1","   64,    1,    1","2,825,498",2.07,"664,100.41",2.76,"124,436,480",1.37,64,"200,704",16.19,0.21,99.33,205.52,99.30,"1,607,684","1,605,632","3,361,703","6,424,580","6,422,528","6,432,275","6,579,011","1,988","6,422,656","6,490,584","6,406,644",15.39,15.19,"6,490,584","6,406,644"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[15482] python3.8,"200704,    1,    1","   64,    1,    1","1,216,586",0.89,"284,171.07",0.58,"11,239,424",1.36,64,"200,704",3.88,0.21,230.14,205.52,230.14,"1,605,632","1,605,632","3,230,903","6,422,528","6,422,528","6,423,798","6,455,124",0,"6,422,528","6,458,924","6,334,386",35.56,34.87,"6,458,924","6,334,386"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[15482] python3.8,"    2,   16,    1","   32,    4,    1","5,160",0.01,759.93,0.87,"45,056",0.96,128,32,3.29,0.00,30.66,0.26,49.05,"2,152","2,048","6,095","5,120","8,192","10,170","4,860","1,333","4,608","4,884",0,6.34,0,"4,884",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[15482] python3.8,"   32,   28,   14","  256,    1,    1","24,514,981",17.93,"5,740,419.12",1.57,"614,254,592",1.37,256,"12,544",13.60,2.63,146.61,205.52,11.47,"27,648,000","3,211,264","31,361,707","82,124,800","6,422,528","75,931,779","19,702,756","69,503,563","18,695,356","19,679,407","6,385,470",5.38,1.74,"19,679,407","6,385,470"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[15482] python3.8,"200704,    1,    1","   64,    1,    1","2,823,922",2.07,"664,162.82",2.76,"124,436,480",1.36,64,"200,704",16.20,0.21,99.31,205.52,99.28,"1,607,681","1,605,632","3,250,075","6,424,577","6,422,528","6,430,777","6,525,166","1,988","6,422,656","6,528,276","6,334,432",15.48,15.02,"6,528,276","6,334,432"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[15482] python3.8,"200704,    1,    1","   64,    1,    1","1,211,600",0.89,"284,932.35",0.58,"11,239,424",1.36,64,"200,704",3.90,0.21,231.04,205.52,231.04,"1,605,632","1,605,632","3,221,916","6,422,528","6,422,528","6,424,140","6,521,058",0,"6,422,528","6,464,896","6,406,478",35.74,35.42,"6,464,896","6,406,478"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[15482] python3.8,"50176,    1,    1","  256,    1,    1","2,360,703",1.73,"554,638.65",2.20,"83,091,456",1.36,256,"50,176",12.94,0.22,125.45,154.14,88.95,"1,697,629","1,204,224","2,940,963","6,790,516","4,816,896","5,184,361","6,500,285","366,688","6,422,528","6,497,820","4,739,465",18.44,13.45,"6,497,820","4,739,465"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[15482] python3.8,"   49,   64,    1","  256,    1,    1","926,337",0.69,"216,900.47",1.06,"15,705,088",1.35,256,"3,136",7.89,0.12,169.26,115.61,168.75,"2,024,403","903,168","2,943,985","3,624,148","3,612,672","6,162,428","1,633,791","2,548,481","1,605,632","1,800,645","3,524,978",13.02,25.49,"1,800,645","3,524,978"
