ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[10881] python3.8,"  393,    1,    1","  128,    1,    1","3,924",0.00,977.72,1.84,"122,352",1.15,128,393,12.02,0,0,0.32,93.93,0,"2,972","3,759",0,"10,036","11,161",1,0,0,65,0,0.11,0,65,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[10881] python3.8," 6272,    1,    1","  128,    1,    1","1,212,272",0.89,"603,258.90",2.33,"95,535,104",1.36,128,"6,272",33.50,0.06,70.40,205.52,231.20,"855,490","1,605,632","2,476,006","1,955,461","6,422,528","7,959,326","455,288","1,534,618","451,832","511,990","6,335,412",2.83,35.01,"511,990","6,335,412"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[10881] python3.8,"200704,    1,    1","   64,    1,    1","1,333,394",0.98,"665,565.28",2.75,"124,436,480",1.36,64,"200,704",34.32,0.21,209.98,205.52,209.84,"1,609,986","1,605,632","3,233,415","6,426,883","6,422,528","6,428,813","6,454,872","4,290","6,422,656","6,459,594","6,333,997",32.45,31.82,"6,459,594","6,333,997"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[10881] python3.8,"200704,    1,    1","   64,    1,    1","1,025,240",0.75,"512,310.32",0.32,"11,239,424",1.36,64,"200,704",4.61,0.21,272.31,205.52,272.31,"1,605,632","1,605,632","3,232,489","6,422,528","6,422,528","6,424,502","6,465,020",0,"6,422,528","6,441,396","6,333,741",42.08,41.38,"6,441,396","6,333,741"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[10881] python3.8,"    2,   16,    1","   32,    4,    1","4,340",0.00,"1,036.90",0.64,"45,056",1.14,128,32,3.91,0.00,43.03,0.26,68.84,"2,093","2,048","5,001","5,120","8,192","10,400","4,716",991,"4,608","4,820",0,7.38,0,"4,820",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[10881] python3.8,"   32,   28,   14","  256,    1,    1","11,476,821",8.38,"5,687,945.46",1.59,"614,254,592",1.37,256,"12,544",29.05,2.63,313.50,205.52,24.52,"27,648,000","3,211,264","31,155,518","82,124,800","6,422,528","75,929,369","19,298,527","69,505,383","18,701,590","19,362,736","6,383,093",11.30,3.73,"19,362,736","6,383,093"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[10881] python3.8,"200704,    1,    1","   64,    1,    1","1,333,678",0.98,"665,467.81",2.75,"124,436,480",1.36,64,"200,704",34.32,0.21,210.15,205.52,210.00,"1,609,985","1,605,632","3,240,556","6,426,881","6,422,528","6,433,659","6,460,328","4,291","6,422,656","6,468,790","6,335,185",32.49,31.82,"6,468,790","6,335,185"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[10881] python3.8,"200704,    1,    1","   64,    1,    1","1,031,470",0.75,"512,256.28",0.32,"11,239,424",1.37,64,"200,704",4.58,0.21,272.37,205.52,272.37,"1,605,632","1,605,632","3,308,505","6,422,528","6,422,528","6,424,446","6,533,940",0,"6,422,528","6,499,876","6,326,135",42.21,41.08,"6,499,876","6,326,135"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[10881] python3.8,"50176,    1,    1","  256,    1,    1","1,189,003",0.88,"592,868.84",2.06,"83,091,456",1.36,256,"50,176",25.70,0.22,250.82,154.14,176.10,"1,716,859","1,204,224","2,934,871","6,867,436","4,816,896","5,260,791","6,457,317","439,008","6,422,528","6,452,075","4,810,247",36.35,27.10,"6,452,075","4,810,247"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[10881] python3.8,"   49,   64,    1","  256,    1,    1","505,562",0.37,"250,833.13",0.92,"15,705,088",1.35,256,"3,136",14.46,0.12,310.56,115.61,309.94,"2,030,257","903,168","2,939,385","3,619,691","3,612,672","6,155,921","1,627,273","2,542,127","1,605,682","1,623,817","3,597,136",21.51,47.66,"1,623,817","3,597,136"
10,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[10881] python3.8,"    2,   16,    1","   32,    8,    1","6,378",0.01,"2,109.79",0.55,"78,336",1.24,256,32,7.69,0.00,57.24,1.18,228.97,"2,304","9,216","13,139","9,216","36,864","39,191","9,316",0,"9,216","9,348",0,9.79,0,"9,348",0
