ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[15089] python3.8,"   99,    1,    1","  128,    1,    1","3,041",2.78,989.50,0.46,"30,624",1.09,128,99,4.05,0,0,0.08,29.49,0,805,"1,482",0,"2,572","3,469",99,0,0,1,0,0.00,0,1,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[15089] python3.8," 1568,    1,    1","   64,    1,    1","123,612",90.37,"110,570.90",1.57,"11,785,088",1.35,64,"1,568",38.02,16.98,187.94,25.69,284.28,"163,084","200,704","368,288","529,409","802,816","1,033,001","311,042","225,259","308,330","312,744","699,716",16.80,37.59,"312,744","699,716"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"    1,    1,    1","   64,    1,    1","3,117",4.13,18.50,0.05,65,0.75,64,1,0.01,0.00,0.01,0.00,0.01,1,1,152,1,1,986,134,0,2,142,0,0.30,0,142,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[15089] python3.8,"   32,    1,    1","  512,    1,    1","215,832",164.22,"97,618.93",0.86,"5,719,360",1.31,512,32,11.15,51.38,312.89,25.69,156.46,"401,536","200,832","607,312","1,605,760","802,944","805,516","1,611,546",120,"1,605,648","1,615,412","720,280",50.14,22.35,"1,615,412","720,280"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"25088,    1,    1","   64,    1,    1","129,308",93.41,"118,645.12",0.20,"1,605,632",1.38,64,"25,088",5.73,25.69,275.03,25.69,275.03,"200,704","200,704","403,160","802,816","802,816","804,894","809,832",0,"802,816","802,998","713,184",41.59,36.94,"802,998","713,184"
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[15089] python3.8," 6272,    1,    1"," 1024,    1,    1","323,065",238.21,"297,465.07",1.97,"39,940,096",1.35,"1,024","6,272",45.79,31.82,133.60,25.69,107.85,"468,757","200,704","675,112","994,432","802,816","1,074,890","837,611","269,216","802,852","818,171","719,582",16.95,14.91,"818,171","719,582"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"    1,    1,    1","   64,    1,    1","3,145",2.82,19.41,0.05,65,1.12,64,1,0.01,0.00,0.01,0.00,0.01,1,1,178,1,1,438,62,0,2,38,0,0.08,0,38,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[15089] python3.8,"   32,    1,    1","  512,    1,    1","220,596",161.57,"97,139.71",0.87,"5,719,360",1.36,512,32,10.91,51.38,318.04,25.69,159.03,"401,536","200,832","606,892","1,605,760","802,944","805,116","1,605,664",120,"1,605,648","1,615,154","721,661",49.05,21.91,"1,615,154","721,661"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[15089] python3.8,"25088,    1,    1","   64,    1,    1","122,972",93.15,"118,627.87",0.20,"1,605,632",1.31,64,"25,088",6.03,25.69,275.79,25.69,275.79,"200,704","200,704","408,919","802,816","802,816","804,824","803,818",0,"802,816","810,332","789,684",44.13,43.01,"810,332","789,684"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[15089] python3.8,"   99,    1,    1","  128,    1,    1","5,041",2.82,983.69,0.46,"30,624",1.79,128,99,2.45,0,0,0.08,29.25,0,881,"1,608",0,"2,627","3,508",97,0,0,1,0,0.00,0,1,0
