ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[9453] python3.8,"  393,    1,    1","  128,    1,    1","5,089",0.00,721.56,2.49,"122,352",1.20,128,393,9.07,0,0,0.33,78.11,0,"3,199","3,905",0,"10,341","11,213",161,0,0,1,0,0.00,0,1,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[9453] python3.8,"12544,    1,    1","  128,    1,    1","5,098,054",3.74,"1,196,183.19",2.35,"191,070,208",1.36,128,"12,544",15.95,0.13,33.67,411.04,110.05,"1,719,479","3,211,264","4,987,776","3,930,759","12,845,056","15,932,839","1,167,544","3,084,974","903,448","1,154,572","12,756,798",1.52,16.76,"1,154,572","12,756,798"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","5,651,155",4.14,"1,327,341.18",2.76,"248,872,960",1.36,64,"401,408",16.22,0.41,99.27,411.04,99.24,"3,215,364","3,211,264","6,507,529","12,849,156","12,845,056","12,855,327","13,146,724","3,972","12,845,312","13,103,524","12,757,100",15.53,15.12,"13,103,524","12,757,100"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","2,433,010",1.78,"569,790.46",0.58,"22,478,848",1.37,64,"401,408",3.89,0.41,231.19,411.04,231.19,"3,211,264","3,211,264","6,475,471","12,845,056","12,845,056","12,847,595","12,912,474",0,"12,845,056","13,000,036","12,756,062",35.79,35.12,"13,000,036","12,756,062"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[9453] python3.8,"    2,   16,    1","   32,    4,    1","5,153",0.01,737.06,0.90,"45,056",0.91,128,32,3.29,0.00,28.93,0.26,46.28,"2,199","2,048","4,766","5,120","8,192","12,451","4,620","1,127","4,608","4,692",0,6.11,0,"4,692",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[9453] python3.8,"   64,   28,   14","  256,    1,    1","48,591,062",35.54,"11,287,740.94",1.60,"1,228,509,184",1.37,256,"25,088",13.73,5.26,147.89,411.04,11.57,"55,296,000","6,422,528","62,788,818","164,249,600","12,845,056","147,370,307","46,036,573","134,509,081","44,111,202","46,206,218","12,811,180",6.37,1.77,"46,206,218","12,811,180"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","5,651,765",4.14,"1,327,431.07",2.76,"248,872,960",1.36,64,"401,408",16.22,0.41,99.25,411.04,99.22,"3,215,364","3,211,264","6,563,650","12,849,156","12,845,056","12,856,054","13,127,456","3,971","12,845,312","13,094,762","12,758,119",15.52,15.12,"13,094,762","12,758,119"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[9453] python3.8,"401408,    1,    1","   64,    1,    1","2,429,255",1.78,"568,534.51",0.58,"22,478,848",1.36,64,"401,408",3.90,0.41,230.59,411.04,230.59,"3,211,264","3,211,264","6,441,446","12,845,056","12,845,056","12,846,342","12,988,140",0,"12,845,056","13,025,156","12,756,406",35.91,35.17,"13,025,156","12,756,406"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[9453] python3.8,"100352,    1,    1","  256,    1,    1","4,722,199",3.47,"1,108,948.82",2.20,"166,182,912",1.36,256,"100,352",12.96,0.43,125.46,308.28,88.93,"3,395,555","2,408,448","5,856,205","13,582,220","9,633,792","10,376,028","13,156,883","746,708","12,845,056","12,995,159","9,553,986",18.43,13.55,"12,995,159","9,553,986"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[9453] python3.8,"   98,   64,    1","  256,    1,    1","1,837,391",1.36,"432,405.66",1.07,"31,410,176",1.35,256,"6,272",7.97,0.23,170.76,231.21,170.21,"4,048,507","1,806,336","5,916,708","7,248,757","7,225,344","12,323,736","3,285,081","5,100,507","3,211,264","3,353,877","7,206,612",12.23,26.27,"3,353,877","7,206,612"
10,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[9453] python3.8,"    2,   16,    1","   32,    8,    1","10,665",0.01,"1,552.54",0.74,"78,336",1.31,256,32,4.60,0.00,36.43,1.18,145.71,"2,304","9,216","12,456","9,216","36,864","37,771","9,260",0,"9,216","9,564","20,141",6.03,12.69,"9,564","20,141"
11,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[9453] python3.8,"  196,    1,   36","  256,    1,    1","9,116,002",6.66,"2,148,175",2.14,"312,721,920",1.37,256,"7,056",19.04,0.46,68.63,462.42,69.40,"8,872,008","3,612,672","12,724,766","14,291,024","14,450,688","21,500,935","7,693,921","7,047,949","7,262,208","7,757,125","14,362,981",5.70,10.55,"7,757,125","14,362,981"
12,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[9453] python3.8,"   98,  128,    1","  256,    1,    1","1,969,836",1.45,"461,664",2.06,"64,727,040",1.36,256,"12,544",12.11,0.46,319.41,205.52,141.96,"3,612,672","3,211,264","6,861,857","14,450,688","6,422,528","6,423,980","14,518,969",0,"14,450,688","14,533,835","6,359,781",49.42,21.62,"14,533,835","6,359,781"
13,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[9453] python3.8,"200704,    1,    1","   64,    1,    1","2,828,017",2.07,"663,665.15",2.76,"124,436,480",1.36,64,"200,704",16.21,0.21,99.27,205.52,99.14,"1,613,825","1,605,632","3,269,461","6,430,721","6,422,528","6,432,365","6,523,302","8,169","6,422,576","6,536,416","6,409,956",15.48,15.18,"6,536,416","6,409,956"
14,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[9453] python3.8,"200704,    1,    1","   64,    1,    1","1,219,935",0.89,"285,373.93",0.58,"11,239,424",1.36,64,"200,704",3.88,0.21,229.99,205.52,229.99,"1,605,632","1,605,632","3,243,313","6,422,528","6,422,528","6,423,968","6,502,914",0,"6,422,528","6,475,812","6,333,941",35.55,34.78,"6,475,812","6,333,941"
15,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[9453] python3.8,"   98,  128,    1","  256,    1,    1","3,699,088",2.71,"868,176.68",1.06,"62,820,352",1.36,256,"12,544",7.91,0.46,171.35,462.42,170.80,"8,101,092","3,612,672","11,788,511","14,497,447","14,450,688","24,655,440","6,720,767","10,196,293","6,422,528","6,561,243","14,439,331",11.88,26.15,"6,561,243","14,439,331"
16,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[9453] python3.8,"    4,   16,    1","   32,    8,    1","14,690",0.01,"2,758.79",0.84,"156,672",1.31,256,64,6.70,0.00,52.81,2.36,211.26,"4,608","18,432","23,931","18,432","73,728","74,587","18,500",0,"18,432","18,932","56,915",8.62,25.91,"18,932","56,915"
17,volta_sgemm_128x128_nn,volta_sgemm_128x128_nn,[9453] python3.8,"  196,    1,   36","  256,    1,    1","16,434,224",12.03,"3,862,150.72",2.19,"575,995,392",1.36,256,"7,056",20.92,0.92,76.84,462.42,38.45,"18,040,004","3,612,672","22,038,824","28,878,020","14,450,688","28,842,766","15,183,385","14,390,668","14,524,416","15,285,277","14,366,210",6.23,5.86,"15,285,277","14,366,210"
18,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[9453] python3.8,"   98,  128,    1","  256,    1,    1","1,968,845",1.44,"461,477.21",2.06,"64,727,040",1.36,256,"12,544",12.12,0.46,320.17,205.52,142.30,"3,612,672","3,211,264","6,840,005","14,450,688","6,422,528","6,424,599","14,509,231",0,"14,450,688","14,538,989","6,434,724",49.46,21.89,"14,538,989","6,434,724"
19,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[9453] python3.8,"200704,    1,    1","   64,    1,    1","2,827,592",2.07,"663,915.35",2.76,"124,436,480",1.36,64,"200,704",16.21,0.21,99.23,205.52,99.11,"1,613,826","1,605,632","3,308,089","6,430,722","6,422,528","6,438,068","6,529,438","8,170","6,422,580","6,609,116","6,334,427",15.66,15.00,"6,609,116","6,334,427"
20,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[9453] python3.8,"200704,    1,    1","   64,    1,    1","1,212,124",0.89,"284,810.03",0.58,"11,239,424",1.36,64,"200,704",3.90,0.21,230.22,205.52,230.22,"1,605,632","1,605,632","3,263,419","6,422,528","6,422,528","6,423,798","6,435,618",0,"6,422,528","6,438,274","6,333,590",35.58,35.00,"6,438,274","6,333,590"
