ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21511] python3.8,"   99,    1,    1","  128,    1,    1","3,125",0.00,531.34,0.85,"30,624",1.12,128,99,3.93,0,0,0.08,29.31,0,731,"1,258",0,"2,499","3,378",17,0,0,25,0,0.05,0,25,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[21511] python3.8,"  784,    1,    1","  128,    1,    1","551,679",0.40,"264,418.84",2.37,"42,640,192",1.36,128,784,41.46,68.40,169.24,25.69,63.56,"1,226,903","200,704","1,498,855","2,138,101","802,816","2,787,457","155,580","1,983,651","154,300","173,510","715,098",2.11,8.68,"173,510","715,098"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[21511] python3.8,"    1,    1,    1","   64,    1,    1","3,126",0.00,18.57,0.05,65,1.08,64,1,0.01,0.00,0.01,0.00,0.01,1,1,194,1,1,"1,002",70,0,2,110,0,0.23,0,110,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[21511] python3.8,"   64,    1,    1","  512,    1,    1","207,771",0.16,"98,617.03",0.87,"5,830,272",1.29,512,64,11.72,51.39,320.15,25.70,160.10,"401,664","200,960","604,974","1,605,888","803,072","807,536","1,614,916",240,"1,605,664","1,614,394","720,955",51.48,22.99,"1,614,394","720,955"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[21511] python3.8,"25088,    1,    1","   64,    1,    1","123,965",0.09,"60,358.25",0.34,"1,404,928",1.31,64,"25,088",4.78,25.69,272.51,25.69,272.51,"200,704","200,704","404,085","802,816","802,816","804,476","809,832",0,"802,816","806,624","713,943",43.58,38.57,"806,624","713,943"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[21511] python3.8," 6272,    1,    1","  256,    1,    1","182,117",0.14,"89,378.57",2.31,"14,018,560",1.34,256,"6,272",28.42,28.80,212.13,19.27,141.91,"324,246","150,528","478,579","901,177","602,112","745,530","808,219","140,667","802,816","805,953","521,833",29.64,19.19,"805,953","521,833"
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[21511] python3.8,"   25,    1,    1","  128,    1,    1","2,907",0.00,356.56,0.32,"7,680",1.08,128,25,1.06,0,0,0.02,7.32,0,174,471,0,615,"1,225",65,0,0,65,0,0.15,0,65,0
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[21511] python3.8,"  196,    1,    1","  128,    1,    1","73,051",0.06,"34,127.38",2.09,"4,838,848",1.32,128,196,33.77,8.69,157.82,6.42,116.69,"118,733","50,176","171,764","271,570","200,704","272,230","202,054","69,811","201,764","201,912","111,537",18.52,10.23,"201,912","111,537"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[21511] python3.8,"    1,    1,    1","   64,    1,    1","3,140",0.00,18.57,0.05,65,1.11,64,1,0.01,0.00,0.01,0.00,0.01,1,1,156,1,1,446,6,0,2,198,0,0.42,0,198,0
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[21511] python3.8,"   64,    1,    1","  512,    1,    1","54,218",0.04,"24,829.19",0.98,"1,653,888",1.26,512,64,12.26,12.85,299.28,6.43,149.75,"100,600","50,432","152,148","401,632","200,960","204,426","403,662","2,444","399,504","401,302","116,915",49.61,14.45,"401,302","116,915"
