ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[31299] python3.8,"  393,    1,    1","  128,    1,    1","5,132",0.00,718.13,2.51,"122,352",1.19,128,393,8.99,0,0,0.33,76.85,0,"3,241","3,756",0,"10,356","11,214",1,0,0,217,0,0.28,0,217,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[31299] python3.8,"  392,    2,    1","   64,    1,    1","173,904",0.13,"39,903.43",2.17,"5,892,544",1.35,64,784,13.37,5.24,40.88,12.85,100.15,"64,081","100,352","167,199","165,844","401,408","517,409","54,300","111,140","54,124","57,128","384,018",2.20,14.79,"57,128","384,018"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","145,151",0.11,"33,865.24",2.64,"6,071,296",1.33,64,"12,544",15.43,12.85,117.93,12.85,117.89,"100,480","100,352","204,886","401,536","401,408","403,132","401,576",124,"401,416","403,718","389,859",18.63,17.99,"403,718","389,859"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","75,688",0.06,"17,492.71",0.59,"702,464",1.32,64,"12,544",3.91,12.85,224.38,12.85,224.38,"100,352","100,352","202,580","401,408","401,408","402,838","405,108",0,"401,408","403,980","390,042",35.76,34.53,"403,980","390,042"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[31299] python3.8,"    2,   16,    1","   32,    4,    1","5,215",0.01,762,0.87,"45,056",0.91,128,32,3.26,0.16,28.60,0.26,45.77,"2,717","2,048","6,109","5,120","8,192","10,202","4,916","1,308","4,608","4,704",0,6.04,0,"4,704",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[31299] python3.8,"    2,   28,   14","  256,    1,    1","1,538,975",1.12,"354,285.21",1.59,"38,390,912",1.37,256,784,13.56,164.25,146.38,12.85,11.45,"1,728,000","200,704","1,958,612","5,132,800","401,408","5,069,338","781,585","4,665,680","736,552","787,031","348,172",3.43,1.52,"787,031","348,172"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","145,269",0.11,"33,601.59",2.66,"6,071,296",1.34,64,"12,544",15.42,12.85,118.90,12.85,118.87,"100,481","100,352","205,134","401,537","401,408","402,979","406,560",124,"401,416","414,174","313,522",19.10,14.46,"414,174","313,522"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","75,202",0.06,"17,289.22",0.60,"702,464",1.29,64,"12,544",3.94,12.85,220.68,12.85,220.68,"100,352","100,352","201,534","401,408","401,408","402,270","401,756",0,"401,408","401,652","312,495",35.78,27.84,"401,652","312,495"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[31299] python3.8," 3136,    1,    1","  256,    1,    1","151,414",0.11,"33,829.59",2.26,"5,193,216",1.37,256,"3,136",12.63,13.56,123.22,9.63,87.54,"105,548","75,264","181,798","422,192","301,056","323,552","401,647","20,776","401,408","445,461","220,883",19.71,9.77,"445,461","220,883"
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[31299] python3.8,"    4,   16,    1","   32,    4,    1","6,882",0.01,"1,125.16",1.18,"90,112",1.19,128,64,4.94,0.33,56.89,0.52,91.02,"5,802","4,096","10,570","10,240","16,384","20,059","9,220","2,965","9,216","9,220",0,8.96,0,"9,220",0
