ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[5694] python3.8,"   99,    1,    1","  128,    1,    1","4,967",2.78,986.71,0.46,"30,624",1.78,128,99,2.48,0,0,0.08,30.25,0,808,"1,482",0,"2,633","3,454",57,0,0,131,0,0.18,0,131,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[5694] python3.8,"   98,    1,    1","   64,    1,    1","21,044",17.06,"16,197.49",0.67,"736,568",1.22,64,98,13.91,1.19,69.91,1.61,94.14,"14,210","12,544","29,704","37,265","50,176","72,167","21,654","16,519","21,278","21,902",0,6.97,0,"21,902",0
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[5694] python3.8,"    1,    1,    1","   64,    1,    1","3,135",4.16,18.63,0.05,65,0.75,64,1,0.01,0.00,0.01,0.00,0.01,1,1,160,1,1,986,6,0,2,6,0,0.01,0,6,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[5694] python3.8,"   32,    1,    1","  512,    1,    1","88,904",65.34,"39,417.68",0.17,"461,440",1.36,512,32,2.04,2.72,41.65,1.61,24.63,"21,320","12,672","41,509","84,896","50,304","87,040","52,197","34,708","50,192","53,871",0,4.06,0,"53,871",0
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[5694] python3.8," 1568,    1,    1","   64,    1,    1","8,638",6.08,"4,587.38",0.32,"100,352",1.41,64,"1,568",5.38,1.61,264.08,1.61,264.08,"12,544","12,544","26,592","50,176","50,176","52,055","50,268",0,"50,176","50,460",0,39.03,0,"50,460",0
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[5694] python3.8,"  392,    1,    1"," 1024,    1,    1","26,676",18.75,"19,333.81",1.90,"2,496,256",1.40,"1,024",392,35.16,2.00,106.50,1.61,85.62,"29,672","12,544","46,655","62,407","50,176","69,451","51,027","17,209","50,212","50,515",0,12.61,0,"50,515",0
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[5694] python3.8,"    1,    1,    1","   64,    1,    1","3,153",4.16,20.31,0.05,65,0.76,64,1,0.01,0.00,0.01,0.00,0.01,1,1,336,1,1,"1,784",6,0,2,182,0,0.39,0,182,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[5694] python3.8,"   32,    1,    1","  512,    1,    1","89,076",64.96,"39,467.40",0.17,"461,440",1.37,512,32,2.04,2.71,41.74,1.61,24.78,"21,247","12,672","36,116","84,604","50,304","87,116","56,021","34,536","50,192","51,997",0,3.91,0,"51,997",0
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[5694] python3.8," 1568,    1,    1","   64,    1,    1","7,069",8.38,"4,578.01",0.32,"100,352",0.84,64,"1,568",6.58,1.61,191.51,1.61,191.51,"12,544","12,544","27,022","50,176","50,176","52,671","50,188",0,"50,176","50,638",0,47.78,0,"50,638",0
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[5694] python3.8,"   99,    1,    1","  128,    1,    1","3,002",2.75,988.53,0.46,"30,624",1.09,128,99,4.11,0,0,0.08,29.81,0,802,"1,337",0,"2,624","4,070",3,0,0,1,0,0.00,0,1,0
10,volta_scudnn_128x32_relu_interior_nn_v1,volta_scudnn_128x32_relu_interior_nn_v1,[5694] python3.8,"   98,    1,    1","   64,    1,    1","21,250",16.80,"16,950.81",0.67,"773,612",1.26,64,98,15.06,1.80,106.90,0.80,47.79,"17,315","6,272","25,671","56,123","25,088","31,505","53,048","4,347","51,808","52,928","14,549",16.66,4.58,"52,928","14,549"
