ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[4274] python3.8,"  393,    1,    1","  128,    1,    1","3,437",0.00,"1,274.25",1.41,"122,352",0.77,128,393,14.03,0,0,0.32,72.48,0,"3,198","4,320",0,"10,155","12,172",121,0,0,1,0,0.00,0,1,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[4274] python3.8," 6272,    1,    1","  128,    1,    1","655,929",0.48,"608,868.85",2.31,"95,535,104",1.37,128,"6,272",62.07,0.06,125.71,205.52,431.27,"836,702","1,605,632","2,451,621","1,904,266","6,422,528","7,906,067","472,656","1,469,903","451,794","467,864","6,329,283",4.77,64.58,"467,864","6,329,283"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[4274] python3.8,"200704,    1,    1","   64,    1,    1","1,030,199",0.76,"1,026,183.78",1.78,"124,436,480",1.36,64,"200,704",44.45,0.21,272.36,205.52,272.00,"1,613,976","1,605,632","3,242,363","6,430,872","6,422,528","6,433,541","6,466,976","8,286","6,422,656","6,463,298","6,411,118",42.02,41.68,"6,463,298","6,411,118"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[4274] python3.8,"200704,    1,    1","   64,    1,    1","1,023,025",0.76,"1,019,707.84",0.16,"11,239,424",1.35,64,"200,704",4.62,0.21,271.04,205.52,271.04,"1,605,632","1,605,632","3,221,841","6,422,528","6,422,528","6,425,001","6,424,588",0,"6,422,528","6,462,096","6,332,724",42.31,41.46,"6,462,096","6,332,724"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[4274] python3.8,"    2,   16,    1","   32,    4,    1","6,375",0.00,"1,162.09",0.57,"45,056",1.30,128,32,2.66,0.00,33.46,0.26,53.54,"2,125","2,048","5,387","5,120","8,192","14,635","4,876","1,078","4,608","5,252",890,5.51,0.93,"5,252",890
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[4274] python3.8,"   32,   28,   14","  256,    1,    1","5,867,287",4.29,"5,793,892.29",1.56,"614,254,592",1.37,256,"12,544",56.87,2.63,612.45,205.52,47.90,"27,648,000","3,211,264","30,945,234","82,124,800","6,422,528","75,587,717","19,512,051","69,281,575","19,286,738","19,362,997","6,453,513",22.10,7.37,"19,362,997","6,453,513"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[4274] python3.8,"200704,    1,    1","   64,    1,    1","1,026,868",0.76,"1,022,364.16",1.79,"124,436,480",1.35,64,"200,704",44.58,0.21,270.92,205.52,270.57,"1,614,008","1,605,632","3,310,308","6,430,904","6,422,528","6,440,056","6,462,552","8,335","6,422,656","6,452,904","6,411,217",42.08,41.81,"6,452,904","6,411,217"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[4274] python3.8,"200704,    1,    1","   64,    1,    1","1,030,452",0.75,"1,016,572.79",0.16,"11,239,424",1.37,64,"200,704",4.58,0.21,272.31,205.52,272.31,"1,605,632","1,605,632","3,227,853","6,422,528","6,422,528","6,425,019","6,446,800",0,"6,422,528","6,453,906","6,332,165",41.95,41.16,"6,453,906","6,332,165"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[4274] python3.8,"50176,    1,    1","  256,    1,    1","896,941",0.66,"889,758.40",1.37,"83,091,456",1.36,256,"50,176",34.09,0.23,341.29,154.14,233.69,"1,756,462","1,204,224","2,974,542","7,025,848","4,816,896","5,424,977","6,447,243","607,916","6,422,528","6,425,547","4,804,740",47.98,35.88,"6,425,547","4,804,740"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[4274] python3.8,"   49,   64,    1","  256,    1,    1","557,992",0.38,"505,260.07",0.46,"15,705,088",1.47,256,"3,136",13.11,0.12,303.65,115.61,303.94,"2,030,122","903,168","2,947,907","3,609,117","3,612,672","6,133,958","1,647,201","2,514,379","1,625,008","1,645,729","3,517,756",19.75,42.22,"1,645,729","3,517,756"
