ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[14629] python3.8,"  393,    1,    1","  128,    1,    1","3,935",0.00,952.63,1.89,"122,352",1.16,128,393,12.03,0,0,0.32,95.61,0,"2,939","3,697",0,"10,032","11,116",121,0,0,1,0,0.00,0,1,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[14629] python3.8,"12544,    1,    1","  128,    1,    1","2,416,703",1.78,"1,199,624.78",2.34,"191,070,208",1.35,128,"12,544",33.77,0.13,70.73,411.04,231.48,"1,716,538","3,211,264","5,001,423","3,921,614","12,845,056","15,928,892","980,902","3,080,028","903,448","1,041,310","12,756,390",2.89,35.35,"1,041,310","12,756,390"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[14629] python3.8,"401408,    1,    1","   64,    1,    1","2,674,935",1.96,"1,329,994.24",2.75,"248,872,960",1.36,64,"401,408",34.36,0.41,210.04,411.04,209.89,"3,219,963","3,211,264","6,472,057","12,853,755","12,845,056","12,855,529","13,002,302","8,578","12,845,312","12,938,616","12,833,098",32.40,32.13,"12,938,616","12,833,098"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[14629] python3.8,"401408,    1,    1","   64,    1,    1","2,049,318",1.51,"1,026,983.66",0.32,"22,478,848",1.35,64,"401,408",4.62,0.41,272.17,411.04,272.17,"3,211,264","3,211,264","6,456,727","12,845,056","12,845,056","12,847,383","12,940,996",0,"12,845,056","12,987,162","12,756,250",42.45,41.69,"12,987,162","12,756,250"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[14629] python3.8,"    2,   16,    1","   32,    4,    1","4,421",0.00,"1,069.87",0.62,"45,056",1.17,128,32,3.84,0.00,43.39,0.26,69.42,"2,214","2,048","5,496","5,120","8,192","11,658","4,812","1,079","4,608","4,740",0,7.18,0,"4,740",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[14629] python3.8,"   64,   28,   14","  256,    1,    1","22,948,368",16.81,"11,335,348.94",1.59,"1,228,509,184",1.36,256,"25,088",29.10,5.26,312.62,411.04,24.45,"55,296,000","6,422,528","62,187,160","164,249,600","12,845,056","147,416,806","44,959,395","134,561,874","44,027,604","44,966,827","12,806,571",13.12,3.74,"44,966,827","12,806,571"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[14629] python3.8,"401408,    1,    1","   64,    1,    1","2,672,076",1.96,"1,330,110.22",2.75,"248,872,960",1.36,64,"401,408",34.37,0.41,209.56,411.04,209.41,"3,219,966","3,211,264","6,492,743","12,853,758","12,845,056","12,855,514","12,942,718","8,574","12,845,312","12,881,634","12,757,261",32.29,31.98,"12,881,634","12,757,261"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[14629] python3.8,"401408,    1,    1","   64,    1,    1","2,065,891",1.51,"1,029,941.18",0.32,"22,478,848",1.36,64,"401,408",4.58,0.41,271.73,411.04,271.73,"3,211,264","3,211,264","6,423,593","12,845,056","12,845,056","12,846,789","13,041,390",0,"12,845,056","12,924,622","12,833,618",41.90,41.61,"12,924,622","12,833,618"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[14629] python3.8,"100352,    1,    1","  256,    1,    1","2,380,755",1.75,"1,185,367.74",2.06,"166,182,912",1.36,256,"100,352",25.73,0.44,250.89,308.28,176.02,"3,431,593","2,408,448","5,860,691","13,726,372","9,633,792","10,520,789","12,937,163","887,404","12,845,056","12,970,169","9,551,291",36.49,26.87,"12,970,169","9,551,291"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[14629] python3.8,"   98,   64,    1","  256,    1,    1","1,035,789",0.75,"507,572.03",0.91,"31,410,176",1.38,256,"6,272",14.19,0.23,309.74,231.21,309.07,"4,060,689","1,806,336","5,884,552","7,240,939","7,225,344","12,314,197","3,254,093","5,083,514","3,211,560","3,212,555","7,135,274",20.77,46.14,"3,212,555","7,135,274"
