ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[32394] python3.8,"  393,    1,    1","  128,    1,    1","8,793",0.01,601.26,2.99,"122,352",1.26,128,393,5.17,0,0,0.34,48.40,0,"3,426","3,860",0,"10,559","11,201",81,0,0,57,0,0.04,0,57,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[32394] python3.8,"12544,    1,    1","  128,    1,    1","13,514,823",9.91,"1,192,193.16",2.36,"191,070,208",1.36,128,"12,544",6.01,0.12,12.57,411.04,41.48,"1,696,357","3,211,264","5,170,290","3,889,559","12,845,056","15,895,520","1,393,616","3,046,972","903,448","1,410,183","12,756,785",0.70,6.32,"1,410,183","12,756,785"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[32394] python3.8,"401408,    1,    1","   64,    1,    1","15,022,770",11.00,"1,325,310.41",2.76,"248,872,960",1.36,64,"401,408",6.09,0.41,37.36,411.04,37.35,"3,212,808","3,211,264","6,806,460","12,846,600","12,845,056","12,847,560","13,484,352","1,411","12,845,312","13,457,976","12,836,637",6.00,5.72,"13,457,976","12,836,637"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[32394] python3.8,"401408,    1,    1","   64,    1,    1","6,146,864",4.52,"543,843.25",0.61,"22,478,848",1.36,64,"401,408",1.54,0.41,91.01,411.04,91.01,"3,211,264","3,211,264","6,561,649","12,845,056","12,845,056","12,846,059","13,010,098",0,"12,845,056","13,221,164","12,756,286",14.41,13.90,"13,221,164","12,756,286"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[32394] python3.8,"    2,   16,    1","   32,    4,    1","8,287",0.01,496.16,1.34,"45,056",1.27,128,32,2.05,0.00,25.33,0.26,40.35,"3,053","2,048","5,548","5,131","8,192","10,412","4,668","1,706","4,608","4,612",0,3.71,0,"4,612",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[32394] python3.8,"   64,   28,   14","  256,    1,    1","131,051,015",95.54,"11,445,601.50",1.58,"1,228,509,184",1.37,256,"25,088",5.09,5.26,55.01,411.04,4.30,"55,296,000","6,422,528","64,339,510","164,249,600","12,845,056","147,370,249","49,452,852","134,513,798","44,104,508","49,536,408","12,881,308",2.53,0.66,"49,536,408","12,881,308"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[32394] python3.8,"401408,    1,    1","   64,    1,    1","15,019,716",11.00,"1,324,899.18",2.76,"248,872,960",1.36,64,"401,408",6.09,0.41,37.36,411.04,37.36,"3,212,808","3,211,264","6,752,214","12,846,600","12,845,056","12,848,849","13,558,816","1,418","12,845,312","13,603,544","12,756,455",6.07,5.69,"13,603,544","12,756,455"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[32394] python3.8,"401408,    1,    1","   64,    1,    1","6,158,957",4.52,"544,247.99",0.61,"22,478,848",1.36,64,"401,408",1.53,0.41,90.86,411.04,90.86,"3,211,264","3,211,264","6,578,465","12,845,056","12,845,056","12,846,460","12,984,281",0,"12,845,056","13,159,684","12,833,141",14.31,13.96,"13,159,684","12,833,141"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[32394] python3.8,"100352,    1,    1","  256,    1,    1","11,696,043",8.57,"1,031,753.18",2.37,"166,182,912",1.36,256,"100,352",5.23,0.43,50.08,308.28,35.95,"3,356,505","2,408,448","5,947,186","13,426,020","9,633,792","10,213,214","13,374,737","581,980","12,845,056","13,288,236","9,555,408",7.61,5.47,"13,288,236","9,555,408"
9,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[32394] python3.8,"   98,   64,    1","  256,    1,    1","4,845,816",3.56,"430,293.97",1.07,"31,410,176",1.36,256,"6,272",3.02,0.23,64.85,231.21,64.92,"4,028,506","1,806,336","5,961,337","7,215,721","7,225,344","12,329,861","3,412,575","5,103,101","3,211,264","3,448,443","7,139,347",4.77,9.87,"3,448,443","7,139,347"
