ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[19516] python3.8,"   99,    1,    1","  128,    1,    1","3,418",0.00,315.76,1.43,"30,624",1.15,128,99,3.55,0,0,0.08,26.65,0,713,"1,157",0,"2,478","3,243",1,0,0,137,0,0.27,0,137,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[19516] python3.8,"  784,    1,    1","  128,    1,    1","1,114,657",0.82,"260,787.63",2.40,"42,640,192",1.36,128,784,20.44,70.05,85.77,25.69,31.46,"1,246,641","200,704","1,466,669","2,185,780","802,816","2,846,706","177,386","2,036,642","154,186","225,534","714,376",1.36,4.29,"225,534","714,376"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[19516] python3.8,"    1,    1,    1","   64,    1,    1","3,135",0.00,18.74,0.05,65,0.82,64,1,0.01,0.00,0.01,0.00,0.01,1,1,181,1,1,446,62,0,2,14,0,0.03,0,14,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[19516] python3.8,"   64,    1,    1","  512,    1,    1","337,549",0.25,"77,768.79",1.10,"5,830,272",1.33,512,64,7.20,51.39,202.74,25.70,101.39,"401,664","200,960","607,055","1,605,888","803,072","804,751","1,608,206",240,"1,605,664","1,625,428","722,068",32.25,14.33,"1,625,428","722,068"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[19516] python3.8,"25088,    1,    1","   64,    1,    1","155,221",0.11,"35,245.15",0.59,"1,404,928",1.36,64,"25,088",3.80,25.69,225.76,25.69,225.76,"200,704","200,704","402,485","802,816","802,816","803,798","806,544",0,"802,816","813,220","713,821",35.09,30.80,"813,220","713,821"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[19516] python3.8," 6272,    1,    1","  256,    1,    1","365,576",0.27,"86,105.25",2.39,"14,018,560",1.36,256,"6,272",14.10,28.83,106.91,19.27,71.45,"324,193","150,528","480,972","900,485","602,112","743,933","812,435","140,526","802,816","817,827","602,083",14.98,11.03,"817,827","602,083"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[19516] python3.8,"    1,    1,    1","   64,    1,    1","3,127",0.00,20.88,0.05,65,1.07,64,1,0.01,0.00,0.01,0.00,0.01,1,1,152,1,1,430,"1,134",0,2,6,0,0.01,0,6,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[19516] python3.8,"   64,    1,    1","  512,    1,    1","91,348",0.07,"20,462.06",1.19,"1,653,888",1.31,512,64,7.24,12.85,184.25,6.43,92.18,"100,608","50,432","152,612","401,664","200,960","358,485","248,893","157,008","245,432","250,009","118,122",18.33,8.66,"250,009","118,122"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[19516] python3.8," 6272,    1,    1","   64,    1,    1","38,526",0.03,"8,676.44",0.60,"351,232",1.28,64,"6,272",3.84,6.42,213.51,6.42,213.51,"50,176","50,176","102,594","200,704","200,704","201,566","202,200",0,"200,704","203,376","111,927",35.32,19.44,"203,376","111,927"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[19516] python3.8,"   25,    1,    1","  128,    1,    1","2,977",0.00,240.56,0.47,"7,680",1.07,128,25,1.04,0,0,0.02,7.09,0,176,524,0,617,"1,235",47,0,0,105,0,0.24,0,105,0
10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[19516] python3.8,"  196,    2,    1","  128,    1,    1","269,011",0.20,"61,520.84",2.31,"9,677,696",1.35,128,392,18.21,18.19,91.60,12.85,64.69,"262,797","100,352","374,487","568,737","401,408","569,030","405,770","166,436","402,824","403,362","312,601",10.04,7.78,"403,362","312,601"
