ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[23175] python3.8,"   99,    1,    1","  128,    1,    1","3,038",0.00,996.29,0.45,"30,624",1.08,128,99,4.06,0,0,0.08,29.25,0,805,"1,348",0,"2,573","3,476",177,0,0,191,0,0.42,0,191,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[23175] python3.8," 1568,    1,    1","  128,    1,    1","550,816",0.41,"530,093.06",2.37,"85,280,384",1.35,128,"1,568",83.09,136.80,337.54,51.38,126.78,"2,453,610","401,408","2,867,354","4,275,688","1,605,632","5,586,603","333,248","3,973,451","309,902","331,416","1,593,445",4.03,19.36,"331,416","1,593,445"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[23175] python3.8,"    1,    1,    1","   64,    1,    1","3,129",0.00,18.74,0.05,65,1.07,64,1,0.01,0.00,0.01,0.00,0.01,1,1,170,1,1,430,6,0,2,6,0,0.01,0,6,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[23175] python3.8,"   64,    1,    1","  512,    1,    1","381,240",0.29,"354,306.93",0.47,"11,438,720",1.33,512,64,12.59,102.77,359.87,51.39,179.95,"803,072","401,664","1,218,605","3,211,520","1,605,888","1,611,211","3,227,786",240,"3,211,296","3,214,744","1,522,680",56.48,26.75,"3,214,744","1,522,680"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[23175] python3.8,"50176,    1,    1","   64,    1,    1","250,710",0.19,"247,716.81",0.17,"2,809,856",1.34,64,"50,176",4.71,51.38,274.19,51.38,274.19,"401,408","401,408","805,572","1,605,632","1,605,632","1,607,705","1,606,254",0,"1,605,632","1,606,026","1,517,330",42.91,40.54,"1,606,026","1,517,330"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[23175] python3.8,"12544,    1,    1","  256,    1,    1","225,269",0.17,"226,436.81",1.82,"28,037,120",1.32,256,"12,544",45.90,57.59,337.36,38.54,225.72,"644,565","301,056","947,932","1,797,425","1,204,224","1,487,281","1,644,321","278,758","1,605,632","1,612,461","1,119,000",47.94,33.27,"1,612,461","1,119,000"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[23175] python3.8,"    1,    1,    1","   64,    1,    1","3,231",0.00,18.53,0.05,65,1.16,64,1,0.01,0.00,0.01,0.00,0.01,1,1,439,1,1,445,132,0,2,6,0,0.01,0,6,0
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[23175] python3.8,"   64,    1,    1","  512,    1,    1","95,451",0.07,"85,573",0.53,"3,085,952",1.28,512,64,13.17,25.70,346.30,12.85,173.21,"200,960","100,608","304,720","803,072","401,664","404,388","806,898",240,"802,848","811,030","391,933",56.94,27.52,"811,030","391,933"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[23175] python3.8,"12544,    1,    1","   64,    1,    1","64,497",0.05,"54,966.03",0.19,"702,464",1.40,64,"12,544",4.58,12.85,279.73,12.85,279.73,"100,352","100,352","203,698","401,408","401,408","403,474","401,412",0,"401,408","401,964","311,571",41.74,32.35,"401,964","311,571"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[23175] python3.8,"   25,    1,    1","  128,    1,    1","2,896",0.00,356.78,0.32,"7,680",1.05,128,25,1.06,0,0,0.02,7.19,0,174,471,0,618,"1,224",377,0,0,153,0,0.35,0,153,0
10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[23175] python3.8,"  392,    2,    1","  128,    1,    1","153,396",0.11,"139,473.51",2.04,"19,355,392",1.34,128,784,64.28,35.82,315.95,25.69,226.59,"509,714","200,704","712,723","1,121,617","802,816","1,120,776","807,840","316,871","805,012","805,592","706,560",35.06,30.75,"805,592","706,560"
11,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[23175] python3.8,"    1,    1,    1","   64,    1,    1","3,137",0.00,18.53,0.05,65,1.11,64,1,0.01,0.00,0.01,0.00,0.01,1,1,496,1,1,430,374,0,2,286,0,0.61,0,286,0
12,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[23175] python3.8,"  128,    1,    1","  512,    1,    1","205,189",0.15,"190,981.49",0.48,"6,171,904",1.33,512,128,12.24,51.40,334.68,25.71,167.39,"401,920","201,216","607,624","1,606,144","803,328","806,319","1,607,858",480,"1,605,696","1,610,842","719,817",52.59,23.50,"1,610,842","719,817"
13,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[23175] python3.8,"25088,    1,    1","   64,    1,    1","129,639",0.09,"119,036.78",0.17,"1,404,928",1.39,64,"25,088",4.56,25.69,275.41,25.69,275.41,"200,704","200,704","406,784","802,816","802,816","804,893","807,460",0,"802,816","814,244","789,641",42.06,40.79,"814,244","789,641"
14,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[23175] python3.8,"   16,  128,    1","  256,    1,    1","290,675",0.21,"270,508.71",0.50,"9,196,544",1.40,256,"2,048",14.34,57.46,276.61,57.80,278.24,"966,428","451,584","1,422,143","1,795,335","1,806,336","2,987,811","832,513","1,178,194","810,154","818,217","1,713,599",18.84,39.46,"818,217","1,713,599"
15,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[23175] python3.8,"    4,    4,    1","   32,    8,    1","5,125",0.00,733.37,0.79,"39,168",1.17,256,16,4.78,0.15,33.64,0.59,134.54,"1,152","4,608","6,642","4,608","18,432","19,667","4,612",0,"4,608","4,780",0,6.22,0,"4,780",0
16,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[23175] python3.8,"   25,    1,   36","  128,    1,    1","263,674",0.19,"247,541.13",2.22,"37,360,800",1.35,128,900,83.34,71.66,368.77,14.45,74.36,"884,653","112,896","1,001,716","2,239,418","451,584","878,848","1,832,723","424,066","1,824,804","1,835,315","377,060",46.56,9.56,"1,835,315","377,060"
