ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[31299] python3.8,"  393,    1,    1","  128,    1,    1","5,132",0.00,718.13,2.51,"122,352",1.19,128,393,8.99
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[31299] python3.8,"  392,    2,    1","   64,    1,    1","173,904",0.13,"39,903.43",2.17,"5,892,544",1.35,64,784,13.37
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","145,151",0.11,"33,865.24",2.64,"6,071,296",1.33,64,"12,544",15.43
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","75,688",0.06,"17,492.71",0.59,"702,464",1.32,64,"12,544",3.91
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[31299] python3.8,"    2,   16,    1","   32,    4,    1","5,215",0.01,762,0.87,"45,056",0.91,128,32,3.26
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[31299] python3.8,"    2,   28,   14","  256,    1,    1","1,538,975",1.12,"354,285.21",1.59,"38,390,912",1.37,256,784,13.56
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","145,269",0.11,"33,601.59",2.66,"6,071,296",1.34,64,"12,544",15.42
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31299] python3.8,"12544,    1,    1","   64,    1,    1","75,202",0.06,"17,289.22",0.60,"702,464",1.29,64,"12,544",3.94
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[31299] python3.8," 3136,    1,    1","  256,    1,    1","151,414",0.11,"33,829.59",2.26,"5,193,216",1.37,256,"3,136",12.63
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[31299] python3.8,"    4,   16,    1","   32,    4,    1","6,882",0.01,"1,125.16",1.18,"90,112",1.19,128,64,4.94
10,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[31299] python3.8,"    4,   14,    7","  256,    1,    1","762,232",0.56,"174,661.68",1.62,"19,195,456",1.36,256,392,13.68
11,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[31299] python3.8," 6272,    1,    1","   64,    1,    1","75,442",0.06,"16,952.47",2.63,"3,035,648",1.34,64,"6,272",14.86
