ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[13007] python3.8,"  393,    1,    1","  128,    1,    1","3,191",2.85,"1,323.31",1.36,"122,352",1.12,128,393,15.21
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[13007] python3.8,"  392,    2,    1","   64,    1,    1","56,454",42.78,"50,382.51",1.72,"5,892,544",1.31,64,784,41.53
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[13007] python3.8,"12544,    1,    1","   64,    1,    1","60,654",49.79,"57,176.93",1.56,"6,071,296",1.21,64,"12,544",37.19
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13007] python3.8,"12544,    1,    1","   64,    1,    1","64,169",46.11,"60,939.09",0.17,"702,464",1.39,64,"12,544",4.62
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[13007] python3.8,"    2,   16,    1","   32,    4,    1","3,812",3.42,"1,061.07",0.62,"45,056",1.11,128,32,4.45
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[13007] python3.8,"    2,   28,   14","  256,    1,    1","383,786",281.89,"362,183.82",1.56,"38,390,912",1.35,256,784,54.72
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[13007] python3.8,"12544,    1,    1","   64,    1,    1","67,650",48.67,"56,926.78",1.57,"6,071,296",1.38,64,"12,544",33.42
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13007] python3.8,"12544,    1,    1","   64,    1,    1","58,097",45.89,"55,222.49",0.19,"702,464",1.26,64,"12,544",5.11
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[13007] python3.8," 3136,    1,    1","  256,    1,    1","60,476",42.59,"50,351.21",1.52,"5,193,216",1.41,256,"3,136",31.92
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[13007] python3.8,"    4,   16,    1","   32,    4,    1","4,356",5.54,"2,314.25",0.57,"90,112",0.78,128,64,7.81
10,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[13007] python3.8,"    4,   14,    7","  256,    1,    1","188,915",141.09,"177,057.04",1.59,"19,195,456",1.33,256,392,55.65
11,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[13007] python3.8," 6272,    1,    1","   64,    1,    1","28,260",27.36,"25,192.26",1.77,"3,035,648",1.02,64,"6,272",40.16
12,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13007] python3.8," 6272,    1,    1","   64,    1,    1","32,449",22.66,"22,745.88",0.23,"351,232",1.42,64,"6,272",4.57
13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[13007] python3.8,"    4,   32,    1","   32,    4,    1","5,486",4.80,"3,374.90",0.79,"180,224",1.13,128,128,12.45
14,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[13007] python3.8,"    4,   14,    7","  256,    1,    1","333,349",246.05,"314,776.44",1.68,"36,054,592",1.34,256,392,61.86
15,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[13007] python3.8," 6272,    1,    1","   64,    1,    1","28,426",25.41,"24,892.56",1.79,"3,035,648",1.10,64,"6,272",39.93
16,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[13007] python3.8," 6272,    1,    1","   64,    1,    1","25,524",22.43,"22,594.46",0.23,"351,232",1.13,64,"6,272",5.84
17,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[13007] python3.8," 1568,    1,    1","  256,    1,    1","30,302",22.08,"22,306.60",1.71,"2,596,608",1.35,256,"1,568",32.04
18,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[13007] python3.8,"    8,   32,    1","   32,    4,    1","7,447",7.87,"5,129.26",1.03,"360,448",0.93,128,256,18.45
19,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[13007] python3.8,"    8,    7,    4","  256,    1,    1","217,556",162.02,"176,817.49",1.71,"20,602,624",1.33,256,224,54.13
20,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[13007] python3.8," 3136,    1,    1","   64,    1,    1","14,866",13.76,"11,390.79",1.96,"1,517,824",1.06,64,"3,136",38.40
