ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [usecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[25333] python3.8,"   99,    1,    1","  128,    1,    1","3,054",2.82,743.10,0.61,"30,624",1.08,128,99,4.05,0,0,0.08,28.28,0,769,"1,478",0,"2,491","3,369",273,0,0,169,603,0.37,1.32,169,603
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[25333] python3.8,"   98,    1,    1","  128,    1,    1","61,081",46.02,"41,147.87",1.90,"5,330,024",1.32,128,98,46.99,5.81,126.19,3.21,69.79,"116,102","25,088","145,178","180,761","100,352","265,828","26,442","159,692","22,346","24,186","86,259",2.65,9.45,"24,186","86,259"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[25333] python3.8,"    1,    1,    1","   64,    1,    1","3,127",2.82,18.57,0.05,65,1.11,64,1,0.01,0.00,0.01,0.00,0.01,1,1,226,1,1,454,"1,414",0,2,118,16,0.25,0.03,118,16
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[25333] python3.8,"   64,    1,    1","  512,    1,    1","110,659",78.21,"64,289.74",0.21,"922,880",1.41,512,64,3.28,5.85,74.77,3.22,41.17,"45,868","25,344","74,793","182,704","100,608","180,080","109,729","77,492","105,176","130,101","19,578",7.88,1.19,"130,101","19,578"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[25333] python3.8," 3136,    1,    1","   64,    1,    1","11,016",11.07,"6,461.90",0.40,"175,616",0.99,64,"3,136",6.75,3.21,290.03,3.21,290.03,"25,088","25,088","51,726","100,352","100,352","101,957","100,356",0,"100,352","100,572","13,069",60.91,7.91,"100,572","13,069"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[25333] python3.8,"  784,    1,    1","  256,    1,    1","22,270",14.91,"11,234.53",2.29,"1,752,320",1.48,256,784,29.28,3.56,238.51,2.41,161.51,"40,123","18,816","60,356","111,160","75,264","93,299","101,067","16,621","100,352","101,539",589,30.51,0.18,"101,539",589
6,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",[25333] python3.8,"   98,    2,    1","    8,    8,    1","18,419",14.66,"11,092.56",1.29,"972,552",1.24,64,196,21.67,2.43,165.74,3.21,218.85,"38,514","25,040","64,871","75,816","100,316","152,248","26,016","50,485","25,600","25,912",0,9.38,0,"25,912",0
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[25333] python3.8,"    1,    1,    1","   64,    1,    1","3,157",3.87,18.93,0.05,65,0.82,64,1,0.01,0.00,0.01,0.00,0.01,1,1,318,1,1,"1,778",198,0,2,6,0,0.01,0,6,0
8,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",[25333] python3.8,"   64,    1,    1","  512,    1,    1","10,274",8.32,"5,308.54",1.30,"468,288",1.23,512,64,17.39,0.81,97.48,0.81,97.48,"6,528","6,528","14,710","25,344","25,344","27,267","25,802",240,"25,120","25,730","6,040",16.75,3.93,"25,730","6,040"
9,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[25333] python3.8,"  784,    1,    1","   64,    1,    1","5,420",4.38,"2,199.90",0.29,"43,904",1.23,64,784,3.41,0.80,183.12,0.80,183.12,"6,272","6,272","13,646","25,088","25,088","26,519","25,284",0,"25,088","25,314",0,31.10,0,"25,314",0
