ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[2142] python3.8,"  393,    1,    1","  128,    1,    1","8,740",0.01,593.94,3.03,"122,352",1.24,128,393,5.20,0,0,0.34,48.09,0,"3,437","3,841",0,"10,537","11,136",557,0,0,335,"2,640",0.26,2.02,335,"2,640"
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[2142] python3.8," 3136,    1,    1","  128,    1,    1","3,392,072",2.49,"298,678.07",2.35,"47,767,552",1.36,128,"3,136",5.98,0.03,12.42,102.76,41.28,"421,007","802,816","1,371,856","966,927","3,211,264","3,971,416","356,440","758,254","226,024","338,240","3,122,704",0.67,6.17,"338,240","3,122,704"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[2142] python3.8,"100352,    1,    1","   64,    1,    1","3,758,088",2.75,"331,411.74",2.76,"62,218,240",1.36,64,"100,352",6.09,0.10,37.31,102.76,37.31,"803,200","802,816","1,754,662","3,211,648","3,211,264","3,215,983","3,526,432",353,"3,211,328","3,356,416","3,123,546",5.98,5.57,"3,356,416","3,123,546"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[2142] python3.8,"100352,    1,    1","   64,    1,    1","1,529,745",1.13,"135,835.75",0.61,"5,619,712",1.35,64,"100,352",1.54,0.10,91.04,102.76,91.04,"802,816","802,816","1,630,281","3,211,264","3,211,264","3,212,267","3,233,773",0,"3,211,264","3,277,052","3,122,444",14.35,13.67,"3,277,052","3,122,444"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[2142] python3.8,"    2,   16,    1","   32,    4,    1","8,238",0.01,505.99,1.31,"45,056",1.28,128,32,2.06,0.00,25.62,0.26,40.76,"3,307","2,048","5,679","5,148","8,192","10,527","4,614","1,793","4,608","5,220",0,4.25,0,"5,220",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[2142] python3.8,"   16,   28,   14","  256,    1,    1","32,451,595",23.83,"2,859,552.66",1.58,"307,127,296",1.36,256,"6,272",5.14,1.31,55.14,102.76,4.31,"13,824,000","1,605,632","16,044,994","41,062,400","3,211,264","38,086,195","10,480,658","34,860,573","9,184,104","10,581,995","3,175,792",2.18,0.66,"10,581,995","3,175,792"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[2142] python3.8,"100352,    1,    1","   64,    1,    1","3,758,799",2.75,"331,442.37",2.76,"62,218,240",1.36,64,"100,352",6.09,0.10,37.32,102.76,37.31,"803,200","802,816","1,675,118","3,211,648","3,211,264","3,213,782","3,309,016",353,"3,211,328","3,334,744","3,194,789",5.94,5.69,"3,334,744","3,194,789"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[2142] python3.8,"100352,    1,    1","   64,    1,    1","1,535,799",1.13,"135,499.49",0.61,"5,619,712",1.36,64,"100,352",1.54,0.10,90.88,102.76,90.88,"802,816","802,816","1,627,015","3,211,264","3,211,264","3,212,457","3,270,626",0,"3,211,264","3,211,682","3,122,269",14.01,13.62,"3,211,682","3,122,269"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[2142] python3.8,"25088,    1,    1","  256,    1,    1","2,920,285",2.15,"257,812.62",2.37,"41,545,728",1.36,256,"25,088",5.23,0.11,50.03,77.07,35.92,"838,581","602,112","1,574,565","3,354,324","2,408,448","2,555,944","3,304,799","143,840","3,211,264","3,312,747","2,400,769",7.60,5.51,"3,312,747","2,400,769"
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[2142] python3.8,"    4,   16,    1","   32,    4,    1","12,292",0.01,864.62,1.53,"90,112",1.29,128,64,2.76,0.00,35.28,0.52,55.16,"7,147","4,096","11,450","10,574","16,384","21,138","9,854","3,976","9,216","9,220",0,5.02,0,"9,220",0
