ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Gbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[31957] python3.8,"  393,    1,    1","  128,    1,    1","5,057",0.00,715.51,2.51,"122,352",1.19,128,393,9.12,0,0,0.33,77.68,0,"3,236","3,808",0,"10,317","11,207",1,0,0,941,0,1.24,0,941,0
1,volta_scudnn_128x64_relu_small_nn_v1,volta_scudnn_128x64_relu_small_nn_v1,[31957] python3.8," 3136,    1,    1","  128,    1,    1","1,285,364",0.94,"301,347.44",2.33,"47,767,552",1.36,128,"3,136",15.81,0.03,33.22,102.76,109.10,"426,629","802,816","1,257,661","976,481","3,211,264","3,978,906","276,030","767,509","226,024","288,214","3,122,427",1.50,16.27,"288,214","3,122,427"
2,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[31957] python3.8,"100352,    1,    1","   64,    1,    1","1,415,092",1.04,"332,176.65",2.75,"62,218,240",1.36,64,"100,352",16.19,0.10,98.92,102.76,98.89,"803,841","802,816","1,627,422","3,212,289","3,211,264","3,214,651","3,245,620",993,"3,211,328","3,247,600","3,197,501",15.37,15.13,"3,247,600","3,197,501"
3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31957] python3.8,"100352,    1,    1","   64,    1,    1","605,791",0.45,"141,938.63",0.58,"5,619,712",1.35,64,"100,352",3.91,0.10,230.15,102.76,230.15,"802,816","802,816","1,616,443","3,211,264","3,211,264","3,212,673","3,229,378",0,"3,211,264","3,232,156","3,123,555",35.74,34.54,"3,232,156","3,123,555"
4,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[31957] python3.8,"    2,   16,    1","   32,    4,    1","5,239",0.01,804.97,0.82,"45,056",0.98,128,32,3.24,0.00,30.66,0.26,49.05,"2,159","2,048","4,744","5,120","8,192","12,612","4,732","1,054","4,608","4,756",0,6.07,0,"4,756",0
5,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,[31957] python3.8,"   16,   28,   14","  256,    1,    1","12,281,926",9.01,"2,858,157.71",1.58,"307,127,296",1.36,256,"6,272",13.58,1.31,145.88,102.76,11.41,"13,824,000","1,605,632","15,754,811","41,062,400","3,211,264","38,079,380","9,768,172","34,860,560","9,183,948","9,792,051","3,246,164",5.34,1.77,"9,792,051","3,246,164"
6,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char *, (int)3>, OffsetCalculator<(int)2, unsigned int>, OffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)",[31957] python3.8,"100352,    1,    1","   64,    1,    1","1,415,645",1.04,"332,158.71",2.75,"62,218,240",1.36,64,"100,352",16.19,0.10,98.97,102.76,98.94,"803,841","802,816","1,624,533","3,212,289","3,211,264","3,214,136","3,249,702",993,"3,211,328","3,214,432","3,122,290",15.21,14.77,"3,214,432","3,122,290"
7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[31957] python3.8,"100352,    1,    1","   64,    1,    1","607,465",0.45,"141,547.29",0.58,"5,619,712",1.36,64,"100,352",3.89,0.10,230.84,102.76,230.84,"802,816","802,816","1,615,211","3,211,264","3,211,264","3,212,570","3,230,196",0,"3,211,264","3,227,564","3,199,662",35.59,35.28,"3,227,564","3,199,662"
8,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[31957] python3.8,"25088,    1,    1","  256,    1,    1","1,179,737",0.87,"276,905.99",2.21,"41,545,728",1.36,256,"25,088",12.97,0.11,125.18,77.07,88.80,"848,508","602,112","1,562,998","3,394,032","2,408,448","2,595,399","3,264,721","184,144","3,211,264","3,252,083","2,331,241",18.46,13.24,"3,252,083","2,331,241"
9,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",[31957] python3.8,"    4,   16,    1","   32,    4,    1","6,844",0.01,"1,111.87",1.19,"90,112",1.03,128,64,4.96,0.00,49.23,0.52,78.77,"6,354","4,096","11,199","10,250","16,384","22,598","9,820","3,340","9,216","9,460",0,9.19,0,"9,460",0
