ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[7429] python3.8,"   99,    1,    1","  128,    1,    1","3,092",0.00,833.22,0.54,"30,624",0.81,128,99,4.00,0,0,0.08,20.88,0,745,"1,455",0,"2,488","4,927",185,0,0,25,0,0.05,0,25,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[7429] python3.8," 1568,    1,    1","  128,    1,    1","733,029",0.54,"526,129.12",2.38,"85,280,384",1.36,128,"1,568",62.25,138.49,257.17,51.38,95.41,"2,474,815","401,408","2,890,249","4,324,492","1,605,632","5,635,800","327,090","4,030,308","305,614","344,528","1,518,082",3.15,13.87,"344,528","1,518,082"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[7429] python3.8,"    1,    1,    1","   64,    1,    1","3,260",0.00,19.46,0.05,65,1.14,64,1,0.01,0.00,0.01,0.00,0.01,1,1,154,1,1,"1,018",62,0,2,278,0,0.57,0,278,0
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[7429] python3.8,"   64,    1,    1","  512,    1,    1","384,857",0.29,"265,727.50",0.63,"11,438,720",1.33,512,64,12.46,102.77,355.53,51.39,177.78,"803,072","401,664","1,213,859","3,211,520","1,605,888","1,610,298","3,225,792",240,"3,211,296","3,222,104","1,523,759",55.47,26.23,"3,222,104","1,523,759"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[7429] python3.8,"50176,    1,    1","   64,    1,    1","252,245",0.19,"190,767.75",0.22,"2,809,856",1.33,64,"50,176",4.68,51.38,270.49,51.38,270.49,"401,408","401,408","806,517","1,605,632","1,605,632","1,607,798","1,623,302",0,"1,605,632","1,608,444","1,516,581",42.71,40.27,"1,608,444","1,516,581"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[7429] python3.8,"12544,    1,    1","  256,    1,    1","256,438",0.19,"185,822.60",2.22,"28,037,120",1.35,256,"12,544",40.28,57.58,302.95,38.54,202.77,"647,807","301,056","955,800","1,801,023","1,204,224","1,489,039","1,616,811","281,613","1,605,632","1,606,267","1,123,695",41.96,29.35,"1,606,267","1,123,695"
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[7429] python3.8,"   25,    1,    1","  128,    1,    1","2,917",0.00,389.91,0.29,"7,680",1.07,128,25,1.06,0,0,0.02,7.24,0,174,591,0,615,"1,232",1,0,0,1,0,0.00,0,1,0
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[7429] python3.8,"  392,    1,    1","  128,    1,    1","94,902",0.07,"66,599.74",2.14,"9,677,696",1.30,128,392,51.98,17.65,243.09,12.85,176.91,"245,781","100,352","349,334","551,658","401,408","556,275","405,636","149,282","402,704","404,276","312,548",28.51,22.04,"404,276","312,548"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[7429] python3.8,"    1,    1,    1","   64,    1,    1","3,192",0.00,19.44,0.05,65,1.12,64,1,0.01,0.00,0.01,0.00,0.01,1,1,189,1,1,437,126,0,2,46,0,0.10,0,46,0
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[7429] python3.8,"   64,    1,    1","  512,    1,    1","99,092",0.08,"64,629.76",0.70,"3,085,952",1.28,512,64,12.67,25.70,331.99,12.85,166.05,"200,960","100,608","305,885","803,072","401,664","403,642","804,752",240,"802,848","807,298","317,643",54.01,21.25,"807,298","317,643"
10,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[7429] python3.8,"12544,    1,    1","   64,    1,    1","64,954",0.05,"40,991.60",0.25,"702,464",1.40,64,"12,544",4.55,12.85,277.41,12.85,277.41,"100,352","100,352","202,740","401,408","401,408","403,417","403,796",0,"401,408","401,550","312,375",41.40,32.20,"401,550","312,375"
11,winogradForwardData4x4,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<T1, T2>)",[7429] python3.8,"   16,   64,    1","  256,    1,    1","142,647",0.10,"95,227.60",0.71,"4,598,272",1.36,256,"1,024",14.61,28.67,273.33,28.90,275.52,"482,757","225,792","712,194","896,031","903,168","1,493,693","406,561","588,671","401,652","406,779","885,135",19.11,41.58,"406,779","885,135"
12,winogradForwardFilter4x4,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, float>(cudnn::winograd_nonfused::WinogradFilterParams<T1, T2>)",[7429] python3.8,"    2,    8,    1","   32,    8,    1","5,122",0.00,738.94,0.78,"39,168",1.15,256,16,4.78,0.15,33.15,0.59,132.60,"1,152","4,608","6,602","4,608","18,432","19,588","4,612",0,"4,608","4,828","5,178",6.31,6.76,"4,828","5,178"
13,volta_sgemm_128x64_nn,volta_sgemm_128x64_nn,[7429] python3.8,"   25,    1,   36","  128,    1,    1","200,268",0.15,"143,042.96",2.09,"20,282,400",1.34,128,900,55.36,42.82,287.77,28.90,194.23,"659,410","225,792","893,988","1,336,944","903,168","1,330,559","934,519","426,176","921,600","950,167","814,429",31.76,27.22,"950,167","814,429"
14,winogradForwardOutput4x4,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<T1, T2>)",[7429] python3.8,"   16,   64,    1","  256,    1,    1","102,229",0.08,"71,944.51",1.01,"4,945,280",1.25,256,"1,024",17.87,28.90,353.63,12.85,157.17,"225,792","272,384","501,837","903,168","401,408","403,070","906,053",0,"903,168","904,933","324,206",59.27,21.23,"904,933","324,206"
15,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[7429] python3.8,"    1,    1,    1","   64,    1,    1","3,146",0.00,20.04,0.05,65,1.08,64,1,0.01,0.00,0.01,0.00,0.01,1,1,380,1,1,986,6,0,2,288,0,0.61,0,288,0
16,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[7429] python3.8,"   64,    1,    1","  512,    1,    1","98,263",0.08,"67,244.26",0.67,"3,085,952",1.23,512,64,12.78,25.70,322.00,12.85,161.05,"200,960","100,608","305,134","803,072","401,664","403,659","809,930",240,"802,848","815,880","318,306",55.63,21.70,"815,880","318,306"
17,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[7429] python3.8,"12544,    1,    1","   64,    1,    1","58,504",0.05,"46,267.43",0.22,"702,464",1.26,64,"12,544",5.06,12.85,277.41,12.85,277.41,"100,352","100,352","204,413","401,408","401,408","404,005","404,422",0,"401,408","404,196","312,471",46.27,35.77,"404,196","312,471"
18,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[7429] python3.8,"   25,    1,    1","  128,    1,    1","3,051",0.00,362.81,0.31,"7,680",1.12,128,25,1.01,0,0,0.02,7.27,0,174,487,0,618,"1,240",137,0,0,113,116,0.25,0.25,113,116
19,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[7429] python3.8,"  392,    4,    1","  128,    1,    1","342,432",0.25,"245,584.56",2.32,"38,710,784",1.35,128,"1,568",57.38,73.03,288.32,51.38,202.83,"1,057,837","401,408","1,466,175","2,281,464","1,605,632","2,281,869","1,621,550","674,785","1,608,472","1,627,092","1,594,252",31.83,31.18,"1,627,092","1,594,252"
20,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[7429] python3.8,"    1,    1,    1","   64,    1,    1","3,330",0.00,19,0.05,65,1.18,64,1,0.01,0.00,0.01,0.00,0.01,1,1,352,1,1,428,296,0,2,262,12,0.53,0.02,262,12
21,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[7429] python3.8,"  256,    1,    1","  512,    1,    1","388,966",0.29,"264,601.59",0.69,"12,343,808",1.33,512,256,12.90,102.79,350.97,51.41,175.55,"803,640","402,432","1,216,500","3,212,088","1,606,656","1,609,473","3,223,712",752,"3,211,408","3,224,664","1,591,232",54.92,27.10,"3,224,664","1,591,232"
22,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[7429] python3.8,"   25,    1,    1","  128,    1,    1","2,920",0.00,364.01,0.31,"7,680",1.06,128,25,1.06,0,0,0.02,7.15,0,177,616,0,615,"1,232",209,0,0,185,0,0.42,0,185,0
23,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[7429] python3.8,"  392,    4,    1","  128,    1,    1","343,761",0.25,"245,792.13",2.32,"38,710,784",1.35,128,"1,568",57.14,73.77,290.65,51.38,202.42,"1,081,543","401,408","1,490,447","2,305,189","1,605,632","2,310,061","1,618,318","699,517","1,608,544","1,629,856","1,517,031",31.74,29.55,"1,629,856","1,517,031"
