ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[26250] python3.8,"   99,    1,    1","  128,    1,    1","3,360",0.00,315.40,1.43,"30,624",1.14,128,99,3.62,0,0,0.08,26.85,0,715,"1,097",0,"2,480","3,216",105,0,0,191,0,0.38,0,191,0
1,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,[26250] python3.8," 3136,    1,    1","  128,    1,    1","4,410,847",3.23,"1,033,457.35",2.43,"170,560,768",1.36,128,"3,136",20.70,284.78,88.07,102.76,31.78,"5,050,576","802,816","6,003,944","8,893,621","3,211,264","11,513,465","817,684","8,308,867","606,284","739,000","3,123,829",1.12,4.74,"739,000","3,123,829"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"    1,    1,    1","   64,    1,    1","3,148",0.00,19.25,0.05,65,1.12,64,1,0.01,0.00,0.01,0.00,0.01,1,1,588,1,1,"1,778",238,0,2,118,12,0.25,0.03,118,12
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26250] python3.8,"   64,    1,    1","  512,    1,    1","927,546",0.69,"214,833.53",1.55,"22,634,112",1.34,512,64,10.29,205.53,297.65,102.77,148.83,"1,605,889","803,072","2,441,414","6,422,785","3,211,520","3,213,102","6,479,142",240,"6,422,564","6,461,888","3,130,459",46.66,22.61,"6,461,888","3,130,459"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"100352,    1,    1","   64,    1,    1","608,556",0.45,"142,107.31",0.58,"5,619,712",1.36,64,"100,352",3.89,102.76,229.65,102.76,229.65,"802,816","802,816","1,639,241","3,211,264","3,211,264","3,212,834","3,260,188",0,"3,211,264","3,226,498","3,122,469",35.51,34.37,"3,226,498","3,122,469"
5,max_pool_forward_nchw,"void at::native::<unnamed>::max_pool_forward_nchw<float, float>(int, const T1 *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, T1 *, long *)",[26250] python3.8,"25088,    1,    1","  256,    1,    1","1,463,052",1.07,"342,270.69",2.41,"56,074,240",1.36,256,"25,088",14.12,115.32,107.58,77.07,71.90,"1,296,824","602,112","1,907,282","3,603,736","2,408,448","2,971,690","3,259,857","562,797","3,211,264","3,301,667","2,408,762",15.12,11.03,"3,301,667","2,408,762"
6,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[26250] python3.8,"   25,    1,    1","  128,    1,    1","3,000",0.00,243.41,0.46,"7,680",1.10,128,25,1.03,0,0,0.02,7.26,0,176,486,0,617,"1,217",113,0,0,441,128,0.99,0.29,441,128
7,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,[26250] python3.8,"  784,    1,    1","  128,    1,    1","523,606",0.39,"121,223.87",2.35,"19,355,392",1.36,128,784,18.75,36.96,95.87,25.69,66.65,"543,306","200,704","748,525","1,155,224","802,816","1,156,870","831,256","351,114","803,720","827,912","715,466",10.59,9.15,"827,912","715,466"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[26250] python3.8,"    1,    1,    1","   64,    1,    1","3,138",0.00,19,0.05,65,1.11,64,1,0.01,0.00,0.01,0.00,0.01,1,1,360,1,1,446,118,0,2,6,0,0.01,0,6,0
9,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[26250] python3.8,"   64,    1,    1","  512,    1,    1","242,199",0.18,"55,691.13",1.57,"5,928,576",1.32,512,64,10.11,51.39,280.31,25.70,140.18,"401,664","200,960","607,732","1,605,888","803,072","807,140","1,612,530",240,"1,605,664","1,617,842","719,909",44.75,19.91,"1,617,842","719,909"
