ID,Function Name,Demangled Name,Process,Grid Size,Block Size,gpc__cycles_elapsed.max [cycle],gpu__time_duration.sum [msecond],sm__cycles_active.avg [cycle],sm__inst_executed.avg.per_cycle_active [inst/cycle],smsp__inst_executed.sum [inst],gpc__cycles_elapsed.avg.per_second [cycle/nsecond],launch__block_size,launch__grid_size,sm__throughput.avg.pct_of_peak_sustained_elapsed [%],l1tex__m_xbar2l1tex_read_bytes.sum [Mbyte],l1tex__m_xbar2l1tex_read_bytes.sum.per_second [Gbyte/second],l1tex__m_l1tex2xbar_write_bytes.sum [Mbyte],l1tex__m_l1tex2xbar_write_bytes.sum.per_second [Gbyte/second],lts__t_requests_srcunit_tex_op_read.sum [request],lts__t_requests_srcunit_tex_op_write.sum [request],lts__t_requests.sum [request],lts__t_sectors_srcunit_tex_op_read.sum [sector],lts__t_sectors_srcunit_tex_op_write.sum [sector],lts__t_sectors_lookup_hit.sum [sector],lts__t_sectors_lookup_miss.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum [sector],lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum [sector],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector],dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],dram__sectors_read.sum [sector],dram__sectors_write.sum [sector]
0,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[25923] python3.8,"   99,    1,    1","  128,    1,    1","4,337",0.00,202.47,2.22,"30,624",1.17,128,99,2.69,0,0,0.08,21.78,0,754,"1,148",0,"2,531","3,129",3,0,0,1,0,0.00,0,1,0
1,volta_scudnn_128x32_relu_small_nn_v1,volta_scudnn_128x32_relu_small_nn_v1,[25923] python3.8,"  784,    1,    1","   64,    1,    1","468,358",0.34,"40,902.35",2.12,"5,892,544",1.36,64,784,4.96,9.21,26.75,12.85,37.31,"88,621","100,352","197,861","277,785","401,408","538,515","188,806","133,582","152,990","166,118","313,867",2.38,4.49,"166,118","313,867"
2,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[25923] python3.8,"    1,    1,    1","   64,    1,    1","3,123",0.00,18.47,0.05,65,1.07,64,1,0.01,0.00,0.01,0.00,0.01,1,1,168,1,1,430,366,0,2,452,12,0.97,0.03,452,12
3,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[25923] python3.8,"   32,    1,    1","  512,    1,    1","456,325",0.34,"37,412.44",1.15,"2,915,136",1.32,512,32,2.67,25.69,74.65,12.85,37.33,"200,800","100,480","315,528","802,912","401,536","551,932","657,787","122,028","654,724","665,549","319,504",9.77,4.69,"665,549","319,504"
4,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[25923] python3.8,"12544,    1,    1","   64,    1,    1","191,405",0.14,"16,499.16",0.72,"802,816",1.33,64,"12,544",1.93,12.85,89.62,12.85,89.62,"100,352","100,352","203,532","401,408","401,408","402,411","426,477",0,"401,408","409,308","389,934",14.33,13.65,"409,308","389,934"
5,spatialDepthwiseConvolutionUpdateOutput,"void spatialDepthwiseConvolutionUpdateOutput<float, float, unsigned int, (int)3>(THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)4, int, DefaultPtrTraits>, THCDeviceTensor<T1, (int)1, int, DefaultPtrTraits>, bool, T3, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",[25923] python3.8," 3136,    1,    1"," 1024,    1,    1","1,703,742",1.26,"139,939.04",2.10,"19,970,048",1.36,"1,024","3,136",4.31,15.82,12.60,12.85,10.23,"232,163","100,352","377,466","494,529","401,408","542,942","463,211","139,241","401,444","454,797","317,853",1.79,1.25,"454,797","317,853"
6,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<at::native::AddFunctor<long>>, at::detail::Array<char *, (int)2>>(int, T2, T3)",[25923] python3.8,"    1,    1,    1","   64,    1,    1","3,222",0.00,19.88,0.05,65,1.13,64,1,0.01,0.00,0.01,0.00,0.01,1,1,344,1,1,446,254,0,2,254,12,0.52,0.02,254,12
7,bn_fw_tr_1C11_kernel_NCHW,"void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float, float, (int)512, (bool)1, (int)1>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, const T2 *, T2, T2, T2 *, T2 *, T2 *, T2 *, T2, T2)",[25923] python3.8,"   32,    1,    1","  512,    1,    1","451,801",0.34,"37,431.46",1.15,"2,915,136",1.32,512,32,2.69,25.69,75.33,12.85,37.67,"200,796","100,480","307,293","802,908","401,536","545,023","665,305","149,976","650,920","685,473","320,021",10.16,4.74,"685,473","320,021"
8,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_scalar_kernel_impl(at::TensorIterator &, c10::Scalar, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)",[25923] python3.8,"12544,    1,    1","   64,    1,    1","196,428",0.14,"16,712.50",0.71,"802,816",1.38,64,"12,544",1.88,12.85,90.53,12.85,90.53,"100,352","100,352","203,922","401,408","401,408","402,434","426,166",0,"401,408","407,334","312,527",13.89,10.66,"407,334","312,527"
9,computeOffsetsKernel,cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams),[25923] python3.8,"   99,    1,    1","  128,    1,    1","4,267",0.00,201.03,2.24,"30,624",1.14,128,99,2.74,0,0,0.08,21.79,0,767,"1,053",0,"2,557","3,139",121,0,0,201,371,0.31,0.58,201,371
